연번,발급기명,시군구,시도명 ,도로명주소,지번주소,위도,경도,대수,이용시간정보,장애인편의발급기형태,시각장애인용키패드,휠체어접근가능여부,데이터기준일자
1,매탄2동주민센터,경기도,수원시,"경기도 수원시 영통구 매영로39번길 21, 매탄2동주민센터 (매탄동)",경기도 수원시 영통구 매탄동 198-99 매탄2동 행정복지센터,37.2701495,127.0474295,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
2,매탄3동주민센터,경기도,수원시,경기도 수원시 영통구 동탄원천로881번길 76(매탄동),경기도 수원시 영통구 매탄동 1279-1 매탄3동 행정복지센터,37.2564467,127.0430982,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
3,매탄4동주민센터,경기도,수원시,"경기도 수원시 영통구 산남로 26-4, 매탄4동주민센터 (매탄동)",경기도 수원시 영통구 매탄동 232-2 매탄4동 행정복지센터,37.2651145,127.0486937,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
4,원천동 주민센터,경기도,수원시,경기도 수원시 영통구 중부대로 339(원천동),경기도 수원시 영통구 원천동 610 원천동 행정복지센터,37.2734789,127.0532893,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
5,광교1동주민센터(1),경기도,수원시,"경기도 수원시 영통구 도청로89번길 20, 광교1동주민센터 2층 (이의동)",경기도 수원시 영통구 이의동 1350 광교1동 행정복지센터,37.2901826,127.0473961,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
6,광교2동주민센터(2),경기도,수원시,"경기도 수원시 영통구 도청로89번길 20, 광교1동주민센터 2층 (이의동)",경기도 수원시 영통구 이의동 1350 광교1동 행정복지센터,37.2901826,127.0473961,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
7,광교2동주민센터,경기도,수원시,경기도 수원시 영통구 법조로149번길 155(하동),경기도 수원시 영통구 하동 976 광교2동 행정복지센터,37.2922771,127.0701599,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
8,영통1동 주민센터,경기도,수원시,경기도 수원시 영통구 봉영로1759번길 23(영통동),경기도 수원시 영통구 영통동 947-6 영통1동 행정복지센터,37.2663492,127.0805492,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
9,영통2동 주민센터,경기도,수원시,경기도 수원시 영통구 영통로217번길 12(영통동),경기도 수원시 영통구 영통동 977-3 영통2동 행정복지센터,37.2469632,127.0563198,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
10,영통3동주민센터,경기도,수원시,경기도 수원시 영통구 매영로 386(영통동),경기도 수원시 영통구 영통동 989-5 영통3동 행정복지센터,37.2495358,127.0738230,1,평일08시~19시,Y ,Y ,Y ,2026-03-01
