연번,설치장소,도로명 주소,지번 주소,공통서류,등기부등본,가족관계등록부,운영시간
1,월피동다농마트,경기도 안산시 상록구 예술광장로 1,경기도 안산시 상록구 월피동 445번지,발급가능,발급불가,발급불가,07:00~22:00
2,본오1동작은도서관,경기도 안산시 상록구 오목로7길 15,경기도 안산시 상록구 본오동 920번지,발급가능,발급가능,발급가능,07:00~22:00
3,본오2동 행정복지센터,경기도 안산시 상록구 각골로 75,경기도 안산시 상록구 본오동 796-4번지,발급가능,발급가능,발급가능,07:00~22:00
4,NH농협월피동지점,경기도 안산시 상록구 광덕산2로28,경기도 안산시 상록구 월피동 508-5번지,발급가능,발급불가,발급불가,07:00~22:00
6,해양동 행정복지센터,경기도 안산시 상록구 해양로 8,경기도 안산시 상록구 사동 1511-1번지,발급가능,발급가능,발급가능,07:00~22:00
7,반월동행정복지센터,경기도 안산시 상록구 건건로 51,경기도 안산시 상록구 건건동 641-2번지,발급가능,발급가능,발급가능,24시간
8,부곡동행정복지센터,경기도 안산시 상록구 성호로 326,경기도 안산시 상록구 부곡동 671-4번지,발급가능,발급가능,발급가능,07:00~22:00
10,근로복지공단안산병원,경기도 안산시 상록구 구룡로 87,경기도 안산시 상록구 일동95번지,발급가능,발급불가,발급불가,07:00~22:00
11,국민건강보험안산지사,경기도 안산시 상록구 삼일로 646,경기도 안산시 상록구 성포동593-27번지,발급가능,발급불가,발급불가,07:00~22:00
12,롯데마트안산점,경기도 안산시 상록구 항가울로 422,경기도 안산시 상록구 성포동 590번지,발급가능,발급불가,발급불가,07:00~22:00
13,사동행정복지센터,경기도 안산시 상록구 석호로 171,경기도 안산시 상록구 사동 1304번지,발급가능,발급불가,발급불가,07:00~22:00
14,월피동행정복지센터,경기도 안산시 상록구 시낭북로 4,경기도 안산시 상록구 부곡동 738번지,발급가능,발급가능,발급가능,24시간
15,본오1동행정복지센터,경기도 안산시 상록구 샘골로16,경기도 안산시 상록구 본오동990번지,발급가능,발급가능,발급가능,07:00~22:00
16,본오3동행정복지센터,경기도 안산시 상록구 용신로 376,경기도 안산시 상록구 본오동 873번지,발급가능,발급가능,발급가능,24시간
17,스타프라자 앞 광장,경기도 안산시 상록구 화랑로 495,경기도 안산시 상록구 성포동 583번지,발급가능,발급불가,발급불가,24시간
18,상록수역 광장,경기도 안산시 상록구 상록수로 61,경기도 안산시 상록구 본오동 875-10번지,발급가능,발급불가,발급불가,24시간
19,농수산물도매시장,경기도 안산시 상록구 충장로 312,경기도 안산시 상록구 이동 528번지,발급가능,발급불가,발급가능,24시간
20,반월역,경기도 안산시 상록구 건건로119-10,경기도 안산시 상록구 건건동 산62-1번지,발급가능,발급불가,발급불가,24시간
21,일동 행정복지센터,경기도 안산시 상록구 성호로 53,경기도 안산시 상록구 일동 706-3번지,발급가능,발급가능,발급가능,07:00~22:00
22,상록구청(농협365코너),경기도 안산시 상록구 석호로110,경기도 안산시 상록구 사동 1585번지,발급가능,발급가능,발급가능,07:00~22:00
23,단원구청,경기도 안산시 단원구 화랑로 250,경기도 안산시 단원구 초지동 666-8번지,발급가능,발급가능,발급가능,07:00~22:00
24,시청민원실(2개),경기도 안산시 단원구 화랑로 387,경기도 안산시 단원구 고잔동 515번지,발급가능,발급가능,발급가능,24시간
25,와동행정복지센터,경기도 안산시 단원구 선부로 273,경기도 안산시 단원구 와동 280-1번지,발급가능,발급가능,발급가능,24시간
26,호수동행정복지센터,경기도 안산시 단원구 광덕2로 125,경기도 안산시 단원구 고잔동 712-2번지,발급가능,발급불가,발급가능,24시간
27,초지동행정복지센터,경기도 안산시 단원구 초지동로 67,경기도 안산시 단원구 초지동 728-1번지,발급가능,발급가능,발급가능,24시간
28,중앙동행정복지센터,경기도 안산시 단원구 예술대학로 76,경기도 안산시 단원구 고잔동 672-2번지,발급가능,발급가능,발급가능,09:00~18:00
29,안산차량등록사업소,경기도 안산시 단원구 선부광장1로 6,경기도 안산시 단원구 선부동 1070-10번지,발급가능,발급불가,발급가능,24시간
30,한국산업단지공단 내 기업은행 반월중앙지점,경기도 안산시 단원구 동산로 57,경기도 안산시 단원구 원시동 773-2번지,발급가능,발급불가,발급불가,07:00~22:00
31,수원지방법원 안산지원,경기도 안산시 단원구 광덕서로 75,경기도 안산시 단원구 고잔동 711번지,발급가능,발급불가,발급가능,09:00~18:00(평일)
32,이마트 고잔점,경기도 안산시 단원구 원포공원1로 46,경기도 안산시 단원구 초지동 742-4번지,발급가능,발급불가,발급불가,07:00~22:00
33,고대병원,경기도 안산시 단원구 적금로 123,경기도 안산시 단원구 고잔동 516번지,발급가능,발급불가,발급가능,24시간
34,방아머리 선착장,경기도 안산시 단원구 대부황금로 1567-3,경기도 안산시 단원구 대부북동 1955번지,발급가능,발급불가,발급불가,07:00~22:00
35,원곡동 라성상가,경기도 안산시 단원구 화랑로 103,경기도 안산시 단원구 원곡동 846-3번지,발급가능,발급불가,발급불가,24시간
36,홈플러스 안산선부점,경기도 안산시 단원구 삼일로 316,경기도 안산시 단원구 선부동 1077-1번지,발급가능,발급불가,발급불가,07:00~22:00
37,원곡동 유통상가,경기도 안산시 단원구 산단로 348 (2차 유통상가 D동 1층입구),경기도 안산시 단원구 원곡동 994번지 (2차 유통상가 D동 1층입구),발급가능,발급불가,발급불가,07:00~22:00
38,안양원예농협 신길지점,경기도 안산시 단원구 새뿔길 21-3,경기도 안산시 단원구 신길동 640-3번지,발급가능,발급불가,발급불가,07:00~22:00
39,"인천출입국,외국인청안산출장소","경기도 안산시 단원구 광덕4로 96, 부일프라자 2층",경기도 안산시 단원구 고잔동 681-2번지 부일프라자 2층,발급가능,발급불가,발급가능,09:00~18:00(평일)
40,안산세무서,경기도 안산시 단원구 화랑로 350,경기도 안산시 단원구 고잔동 517번지,발급가능,발급불가,발급불가,09:00~18:00(평일)
41,자이아파트수변상가,경기도 안산시 상록구 해양1로 199,경기도 안산시 상록구 사동 1639-7,발급가능,발급불가,발급불가,07:00~22:00
42,한대앞역 로데오거리,경기도 안산시 상록구 광덕1로 381,경기도 안산시 상록구 이동 715-12,발급가능,발급불가,발급가능,24시간
43,안산교육지원청,경기도 안산시 상록구 석호공원로5길 8,경기도 안산시 상록구 사동 1253-8,발급가능,발급불가,발급불가,09:00~18:00(평일)
44,사이동주민커뮤니티센터,경기도 안산시 상록구 선진로92,경기도 안산시 상록구 사동 1502,발급가능,발급불가,발급불가,24시간
