관리번호,발급기명,설치장소,설치위치,평일운영시간,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,장애인 편의기능 정보,시각장애인용키패드,시각장애인용음성안내,청각장애인용화면안내,점자라벨부착,이어폰소켓,촉각(점자)모니터,화면확대기능,휠체어탄사용자조작,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
501,양평군청1,경기도 양평군 양평군청,군청 1층 민원토지과 내,00:00~24:00,00:00:00,00:00:00,0:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 양평읍 군청앞길 2,경기도 양평군 양평읍 양근리 448-8,경기도 양평군 양평군청,031-770-2039,37.491679,127.487438,2026-03-12
502,양평군청2,경기도 양평군 양평군청,군청 1층 민원토지과 내,00:00~24:00,00:00:00,00:00:00,0:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 양평읍 군청앞길 2,경기도 양평군 양평읍 양근리 448-8,경기도 양평군 양평군청,031-770-2039,37.491679,127.487438,2026-03-12
503,용문농협,경기도 양평군 용문농협,용문농협 내,09:00~17:00,17:00:00,휴무,휴무,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 용문면 용문로353번길 4,경기도 양평군 용문면 다문리 721-1,경기도 양평군 용문면사무소,031-770-3322,,,2026-03-12
504,양동면,경기도 양평군 양동면사무소,양동면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 양동면 학둔지아래길 20,경기도 양평군 양동면 석곡리 160-1,경기도 양평군 양동면사무소,031-770-3257,37.425117,127.751174,2026-03-12
505,강하면,경기도 양평군 강하면사무소,강하면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 강하면 운심길 40-8,경기도 양평군 강하면 운심리 35-6,경기도 양평군 강하면사무소,031-770-3081,37.494646,127.410359,2026-03-12
506,서종면,경기도 양평군 서종면사무소,서종면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 서종면 북한강로 777,경기도 양평군 서종면 문호리 766-1,경기도 양평군 서종면사무소,031-770-3171,37.606626,127.348751,2026-03-12
507,양평역,경기도 양평군 양평역,양평역 일자리센터 옆,05:00~24:00,00:00:00,05:00:00,0:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 양평읍 역전길 30,경기도 양평군 양평읍 양근리 130-37,경기도 양평군 양평군청,031-770-2039,37.492731,127.491477,2026-03-12
508,청운면,경기도 양평군 청운면사무소,청운면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 청운면 용도로 170,경기도 양평군 청운면 용두리 625-1,경기도 양평군 청운면사무소,031-770-3231,37.556278,127.710706,2026-03-12
509,양서면,경기도 양평군 양서면사무소,양서면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 양서면 목왕로 31,경기도 양평군 양서면 용담리 520-1,경기도 양평군 양서면사무소,031-770-3111,37.543415,127.323826,2026-03-12
510,강상면,경기도 양평군 강상면사무소,강상면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 강상면 신화길 10,경기도 양평군 강상면 교평리 592-1,경기도 양평군 강상면사무소,031-770-3051,37.477189,127.485496,2026-03-12
511,옥천면,경기도 양평군 옥천면사무소,옥천면사무소 1층 민원실,09:00~21:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 옥천면 옥천길 21,경기도 양평군 옥천리 865-17,경기도 양평군 옥천면사무소,031-770-3141,37.518063,127.456073,2026-03-12
512,양평읍1,경기도 양평군 양평읍사무소,양평읍사무소 1층 민원실,08:00~21:00,21:00:00,00:00:00,0:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 양평읍 양근강변길 7,경기도 양평군 양평읍 양근리 234,경기도 양평군 양평읍사무소,031-770-3033,37.486398,127.493505,2026-03-12
513,지평면,경기도 양평군 지평면사무소,지평면사무소 1층 민원실,09:00~18:00,18:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 지평면 지평의병로11번길 1,경기도 양평군 지평면 지평리 581-1,경기도 양평군 지평면사무소,031-770-3291,37.474521,127.639202,2026-03-12
514,단월면,경기도 양평군 단월면사무소,단월면사무소 1층 민원실,09:00~21:00,21:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 단월면 보룡길 53,경기도 양평군 단월면 보룡리 343-2,경기도 양평군 단월면사무소,031-770-3201,37.53856,127.672995,2026-03-12
515,개군면,경기도 양평군 개군면사무소,개군면사무소 1층 민원실,09:00~21:00,21:00:00,09:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 개군면 하자포길33번길 8,경기도 양평군 개군면 하자포리262-2,경기도 양평군 개군면사무소,031-770-3351,37.425864,127.536795,2026-03-12
517,양평읍2,경기도 양평군 양평읍사무소,양평읍사무소 1층 민원실,00:00~24:00,00:00:00,00:00:00,0:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 양평읍 양근강변길 7,경기도 양평군 양평읍 양근리 234,경기도 양평군 양평읍사무소,031-770-3033,37.486398,127.493505,2026-03-12
518,양평농협,경기도 양평군 양평농협,양평농협 본점 내,09:00~18:00,18:00:00,휴무,휴무,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 양평읍 시민로 81,경기도 양평군 양평읍 공흥리 490-6,경기도 양평군 양평읍사무소,031-770-3033,37.491293,127.500715,2026-03-12
519,양동농협,경기도 양평군 양동농협,양동농협 내,09:00~17:00,17:00:00,휴무,휴무,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 양동면 학둔지아래길 111,경기도 양평군 양동면 쌍학리 185-9,경기도 양평군 양동면사무소,031-770-3257,37.418754,127.755074,2026-03-12
520,국립교통재활병원,경기도 양평군 국립교통재활병원,병원 1층 로비 우리은행 부스 안,06:00~24:00,00:00:00,06:00:00,22:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 양평읍 중앙로 260,경기도 양평군 양평읍 도곡리 1030,경기도 양평군 양평군청,031-770-2039,37.489619,127.518269,2026-03-12
521,양평보건소,경기도 양평군 양평보건소,양평보건소 1층 로비,07:00~18:00,18:00:00,휴무,휴무,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 양평읍 마유산로 17,경기도 양평군 양평읍 양근리 533-1,경기도 양평군 양평군청,031-770-2039,37.496992,127.486615,2026-03-12
522,양평병원,경기도 양평군 양평병원,병원 1층 정문 입구,07:00~24:00,00:00:00,07:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 양평읍 중앙로 129,경기도 양평군 양평읍 공흥리 316-2,경기도 양평군 양평군청,031-770-2043,37.493841,127.503444,2026-03-12
523,용문면1,경기도 양평군 용문면사무소,용문면사무소 1층 민원실,08:00~21:00,21:00:00,08:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 용문면 용문로 389,경기도 양평군 용문면 다문리 344-2,경기도 양평군 용문면사무소,031-770-3322,37.486738,127.595737,2026-03-12
524,용문면2,경기도 양평군 용문면사무소,용문면사무소 1층 민원실,08:00~21:00,21:00:00,08:00:00,18:00:00,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 가족관계등록부+ 제적부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 부동산등기부등본 교육제증명 대학교(원)제외,경기도 양평군 용문면 용문로 389,경기도 양평군 용문면 다문리 344-2,경기도 양평군 용문면사무소,031-770-3322,37.486738,127.595737,2026-03-12
525,용문새마을금고,경기도 양평군 용문새마을금고,용문새마을금고 로비,09:00~17:00,17:00:00,휴무,휴무,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),제공,제공,제공,부착,제공,미제공,제공,가능,주민등록+ 토지건축+차량+ 보건복지+ 농지원부+ 병적증명서+ 지방세세목별과세증명서 + 국세증명서 + 어선원부+ 교육제증명 대학교(원)제외,경기도 양평군 용문면 용문로 349-1,경기도 양평군 용문면 다문리 720-6,경기도 양평군 용문면사무소,031-770-3322,37.484016,127.592779,2026-03-12
