관리번호,발급기명,관리기관명,설치장소주소,설치장소상세위치,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,운영시간참고내용,설치 운영주소,사용여부명,장애인편의발급기형태,시각장애인용키패드,시각장애인용음성안내,청각장애인용화면안내,점자라벨부착,이어폰소켓,촉각전자모니터,화면확대기능,휠체어사용자조작,최종수정시점,데이터갱신여부,데이터갱신일자,시도코드,설치장소위치,도로시군코드,도로코드,도로명읍면동번호,도로건물층구분,도로건물본번호,도로건물부번호,등기사항증명서발급구분,가족관계삭제발급구분
101,여주시청(민원토지과),경기도 여주시,경기도 여주시 세종로 1(홍문동),민원토지과,00:00,00:00,00:00,00:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-04,Y,2026-06-22,6410000,시군구,41670,3214032,1,0,1,,발급,발급
102,여흥동(1),경기도 여주시,경기도 여주시 여흥로 148(상동),민원실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-10,Y,2026-06-22,6410000,읍면동,41670,3214042,1,0,148,,발급,발급
103,가남읍,경기도 여주시,경기도 여주시 가남읍 태평중앙1길 20,옥외(입구 오른쪽 위치),08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2022-08-28,Y,2026-06-22,6410000,읍면동,41670,4442463,1,0,20,,발급,발급
104,흥천면,경기도 여주시,경기도 여주시 흥천면 효자로 154,흥천면사무소 민원실 내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2022-08-28,Y,2026-06-22,6410000,읍면동,41670,3214074,1,0,154,,발급,발급
105,오학동,경기도 여주시,경기도 여주시 여양로 313(오학동),오학동사무소 사무실 내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-03,Y,2026-06-22,6410000,읍면동,41670,3214070,4,0,313,,발급,발급
106,북내면,경기도 여주시,경기도 여주시 북내면 여양2로 301,사무실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-06-12,Y,2026-06-22,6410000,읍면동,41670,3012085,1,0,301,,발급,발급
107,점동면,경기도 여주시,"경기도 여주시 점동면 청안2길 20, 점동면 행정복지센터",점동면 민원실 내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2024-01-02,Y,2026-06-22,6410000,읍면동,41670,4856300,1,0,20,,발급,발급
108,산북면,경기도 여주시,경기도 여주시 산북면 상품로 93,민원실,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2022-08-28,Y,2026-06-22,6410000,읍면동,41670,3214030,1,0,93,,발급,발급
109,대신면,경기도 여주시,경기도 여주시 대신면 여양로 1456-10,민원실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2022-12-09,Y,2026-06-22,6410000,읍면동,41670,3214070,7,0,1456,10,발급,발급
110,강천면,경기도 여주시,경기도 여주시 강천면 긴등길 5,민원실,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-08-30,Y,2026-06-22,6410000,읍면동,41670,4442075,1,0,5,,발급,발급
111,금사면,경기도 여주시,경기도 여주시 금사면 이포로 27,민원실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-18,Y,2026-06-22,6410000,읍면동,41670,3214051,1,0,27,,발급,발급
112,세종대왕면,경기도 여주시,경기도 여주시 능서면 번도1길 2-9,민원실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-10-27,Y,2026-06-22,6410000,읍면동,41670,4442164,1,0,2,9,발급,발급
113,중앙동,경기도 여주시,경기도 여주시 여흥로11번길 26(하동)[경기도 여주시 하동 134번지 11호],사무실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-05,Y,2026-06-22,6410000,읍면동,41670,4442320,1,0,26,,발급,발급
114,여주지원,경기도 여주시,경기도 여주시 현암로 21-12(현암동),종합민원실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-04,Y,2026-06-22,6410000,법원,41670,3214076,1,0,21,12,미발급,발급
115,이마트,경기도 여주시,경기도 여주시 세종로 151(홍문동)[경기도 여주시 홍문동 384번지 1호],1층 계산대 앞,10:00,22:00,10:00,22:00,"둘째, 넷째주 수요일 휴무",http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-04,Y,2026-06-22,6410000,마트,41670,3214032,1,0,151,,미발급,미발급
116,차량등록사무소,경기도 여주시,경기도 여주시 신륵로 70,사무실 내 농협인출기옆,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-04,Y,2026-06-22,6410000,차량등록사업소,41670,3214056,1,0,190,,발급,발급
117,여흥동(2),경기도 여주시,경기도 여주시 여흥로 148(상동),민원실내,08:00,19:00,08:00,19:00,,http://www.yeoju.go.kr/cms/content/view/462,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2023-07-10,Y,2026-06-22,6410000,읍면동,41670,3214042,1,0,148,,발급,발급
118,여주시청(별관),경기도 여주시,"경기도 여주시 세종로 10, 영무빌딩 4층 (홍문동)",4층 민원실 내,09:00,18:00,00:00,00:00,,https://www.yeoju.go.kr/www/contents.do?key=255,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2024-02-28,N,2026-06-22,6410000,시군구,41670,3214032,1,0,10,,미발급,미발급
119,오학동2,경기도 여주시,경기도 여주시 여양로 313(오학동),오학동주민센터 사무실 내,08:00,19:00,08:00,19:00,,https://www.yeoju.go.kr/www/contents.do?key=255,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2024-06-27,Y,2026-06-22,6410000,읍면동,41670,3214070,1,0,313,,미발급,미발급
120,여주경찰서,경기도 여주시,"경기도 여주시 세종로 50, 여주경찰서 (창동)",로비 1층 우측,00:00,00:00,00:00,00:00,,https://www.yeoju.go.kr/www/contents.do?key=255,사용,장애인겸용,Y,Y,Y,Y,Y,N,Y,Y,2025-03-12,Y,2026-06-22,6410000,여주경찰서,41670,3214032,1,0,50,,미발급,미발급
