구분명,설치장소명,지상 지하구분,대수,설치주소,이용시간정보,휠체어접근가능여부,비고
행정복지센터,천현동 행정복지센터,지상,1,경기도 하남시 검단남로 48(하산곡동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,신장1동 행정복지센터,지상,1,경기도 하남시 신장1로27번길 13(신장동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,신장2동 행정복지센터,지상,1,경기도 하남시 대청로21번길 32(신장동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,덕풍1동 행정복지센터,지상,1,경기도 하남시 덕풍공원로 110(덕풍동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,덕풍2동 행정복지센터,지상,1,경기도 하남시 덕풍공원로 12(덕풍동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,덕풍3동 행정복지센터,지상,1,경기도 하남시 덕풍서로 66(덕풍동),매일 24시간,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,미사1동 행정복지센터,지상,2,경기도 하남시 미사강변남로 59(망월동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,미사1동 행정복지센터,지상,1,경기도 하남시 미사강변남로 59(망월동),매일 24시간,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,미사2동 행정복지센터,지상,2,경기도 하남시 아리수로 531(망월동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,미사2동 행정복지센터,지상,1,경기도 하남시 아리수로 531(망월동) 외부,매일 24시간,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,미사3동 행정복지센터,지상,1,경기도 하남시 하남대로 1037-4(미사3동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,감북동 행정복지센터,지상,1,경기도 하남시 감북로 39(감북동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,감일동 행정복지센터,지상,1,경기도 하남시 감일순환로181(감이동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,감일동 행정복지센터,지상,1,경기도 하남시 감일순환로181(감이동) 외부,매일 24시간,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,위례동 행정복지센터,지상,1,경기도 하남시 위례순환로 310(학암동),매일 24시간,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,춘궁동 행정복지센터,지상,1,경기도 하남시 서하남로 490(춘궁동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
행정복지센터,초이동 행정복지센터,지상,1,경기도 하남시 초이로 65(초이동),월~금 09:00∼18:00,가능,"부동산등기사항증명서, 가족관계등록부"
시청(외부),민원실 옆,지상,2,경기도 하남시 대청로 10(신장동),매일 24시간,가능,
은행(365코너),하남농협 중앙지점,지상,1,경기도 하남시 신장로 102(신장동),매일 06:00∼22:00,가능,
은행(365코너),하남농협 역말지점,지상,1,경기도 하남시 역말로 34(덕풍동),매일 07:00∼22:00,가능,
은행(365코너),새마을금고 신장지점,지상,1,경기도 하남시 신평로 55(신장동),매일 06:00∼22:00,가능,
은행(365코너),농협중앙회 하남시지부,지상,1,경기도 하남시 하남대로776번길 76(신장동),매일 06:00∼22:00,가능,
은행(365코너),우리은행 신장지점,지상,1,경기도 하남시 더우개로 29(신장동),매일 06:00∼22:00,가능,
은행(365코너),새마을금고 감일지점,지상,1,"경기도 하남시 감일백제로180번길 16, 1층(감이동)",매일 06:00∼23:00,가능,
쇼핑몰 대형마트,스타필드 하남(B1),지하,1,경기도 하남시 미사대로 750(신장동),매일 10:00∼22:00,가능,
쇼핑몰 대형마트,이마트 하남점 1F,지상,1,경기도 하남시 덕풍서로 70(덕풍동),매일 10:00∼22:00,가능,
쇼핑몰 대형마트,하나로마트 2F(미사),지상,1,경기도 하남시 미사대로 380(망월동),매일 10:00∼22:00,가능,
유관기관(내부),경기광주세무서 하남지서,지상,1,경기도 하남시 하남대로776번길 91(신장동),월~금 09:00∼18:00,가능,
유관기관(내부),하남경찰서,지상,1,경기도 하남시 검단로 27(하산곡동),매일 06:00∼22:00,가능,가족관계등록부
유관기관,하남ITECO(오렌지존 365코너),지상,1,경기도 하남시 조정대로 150(덕풍동),매일 06:00∼22:00,가능,
지하철역,미사역(B1 대합실),지하,1,경기도 하남시 미사강변동로 90(망월동),월~금 05:30~23:55/주말 및 공휴일 05:30~23:30,가능,
북위례메디프라자,위례메디프라자 상가 앞,지상,1,경기도 하남시 위례학암로14번길 11(학암동),매일 24시간,가능,
