연번,발급기명,도로명주소,지번주소,위도,경도,상세위치,이용시간,가족관계제적부,등기부,365코너,주말(공휴일),특이사항,도입연도,데이터기준일자
1,가정행복지원센터,경상남도 거제시 용소1길 35,경상남도 거제시 아주동 989,34.87478818,128.6874407,입구,00:00~24:00,Y,N,Y,운영,,2023,2026-05-28
2,고현동주민센터_2,경상남도 거제시 거제중앙로13길 24,경상남도 거제시 고현동 694,34.8825561,128.6231419,주민센터 내,09:00~18:00,Y,Y,N,운영안함,,2025,2026-05-28
3,거제등기소,경상남도 거제시 거제중앙로31길 32,경상남도 거제시 고현동 967-3,34.8899036,128.6187803,등기소 내,09:00~18:00,Y,Y,N,운영안함,"업무시간 내 운영, 12~13시 점심시간",2017,2026-05-28
4,거제면사무소,경상남도 거제시 거제면 서상길 1,경상남도 거제시 거제면 서상리 298-1,34.8510014,128.5904175,면사무소 내,06:00~24:00,Y,Y,Y,운영,,2023,2026-05-28
5,거제수협 고현지점,경상남도 거제시 고현천로 52,경상남도 거제시 고현동 43-1,34.88744193,128.6256688,입구 로비,06:00~24:00,Y,N,Y,운영,,2017,2026-05-28
6,거제수협 옥포지점,경상남도 거제시 옥포대첩로 59,경상남도 거제시 옥포동 532-27,34.89440464,128.693997,옥포지점 내부,06:00~24:00,Y,N,Y,운영,"외부 철문 개방, 내부 철문 폐쇄",2017,2026-05-28
7,거제축협 상동지점,경상남도 거제시 거제중앙로 1726,경상남도 거제시 상동동 590-9,34.87426188,128.632964,1층 로비,06:00~24:00,N,N,Y,운영,,2017,2026-05-28
8,남부면사무소,경상남도 거제시 남부면 남부해안로 30,경상남도 거제시 남부면 저구리 70,34.73224984,128.6101227,민원실 입구,06:00~24:00,Y,Y,Y,운영,,2026,2026-05-28
9,능포동주민센터,경상남도 거제시 능포로 182,경상남도 거제시 능포동 401-4,34.87917769,128.7345692,민원실 입구(2층),06:00~24:00,Y,Y,Y,운영,,2025,2026-05-28
10,국민건강보험공단,경상남도 거제시 아주로 58,경상남도 거제시 아주동 1696-12,34.86496108,128.6886844,1층 출입구,06:00~24:00,Y,N,Y,운영,,2016,2026-05-28
11,수양동주민센터_2(내부),경상남도 거제시 제산로5길 26,경상남도 거제시 양정동 665-1,34.88793916,128.6462711,주민센터 내(사무실 안),09:00~18:00,Y,Y,N,운영안함,,2019,2026-05-28
12,대우병원,경상남도 거제시 두모길 16,경상남도 거제시 두모동 459,34.87195462,128.722122,병원 내(1층 엘리베이터 옆),06:00~24:00,Y,N,Y,운영,,2016,2026-05-28
