설치장소,설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
시청 민원실,민원실입구내 우측,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),등기부등본(건물,토지,집합건물),제적등본,제적초본,가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 중앙로 39,경상남도 양산시 남부동 503-3,경상남도 양산시청,055-392-2353,35.33515653,129.0381165,2026-02-25
제2청사,출입구 좌측,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),등기부등본(건물,토지,집합건물),제적등본,제적초본,가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 북안남2길 36,경상남도 양산시 북부동 481,경상남도 양산시청,055-392-2353,35.34668147,129.0378517,2026-02-25
국민건강보험공단양산지사,민원실 내,09:00~18:00,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),등기부등본(건물,토지,집합건물),제적등본,제적초본,가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 서일동3길 9,경상남도 양산시 중부동 604-5,경상남도 양산시청,055-392-2353,35.34041,129.0358,2026-02-25
웅상출장소,출입구 우측,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),등기부등본(건물,토지,집합건물),제적등본,제적초본,가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 진등길 40,경상남도 양산시 주진동 72-2,경상남도 양산시청,055-392-2353,35.39510527,129.1554414,2026-02-25
물금읍행정복지센터,입구쪽 부스,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),등기부등본(건물,토지,집합건물),제적등본,제적초본,가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 황산로 384,경상남도 양산시 물금읍 물금리 800-6,경상남도 양산시청,055-392-2353,35.31035523,128.9872842,2026-02-25
범어민원사무소,입구쪽 부스,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),등기부등본(건물,토지,집합건물),제적등본,제적초본,가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남남 양산시 물금읍 범어로 22,경상남도 양산시 물금읍 범어리 2678-1,경상남도 양산시청,055-392-2353,35.33148315,129.011252,2026-02-25
양산부산대학병원,본관 1층 우측,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),가족관계증명서(일반,폐쇄),기본증명서(일반,폐쇄),혼인관계증명서(일반,폐쇄),입양관계증명서(일반,폐쇄),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 물금읍 금오로 20,경상남도 양산시 물금읍 범어리 2762-1,경상남도 양산시청,055-392-2353,35.32878663,129.0064658,2026-02-25
양산부산대학교 어린이병원,어린이병원 1층 ATM쪽,24시간 운영,"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 물금읍 금오로 20,경상남도 양산시 물금읍 범어리 2762-1,경상남도 양산시청,055-392-2353,35.32878663,129.0064658,2026-02-25
남양산역,2층 사무실 좌측,05:00~02:00(익일),"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 물금읍 메기로 380,경상남도 양산시 물금읍 범어리 2826,경상남도 양산시청,055-392-2353,35.32545396,129.0194214,2026-02-25
부산대양산캠퍼스역,지하철 부산대양산캠퍼스역 고객서비스센터 좌측,05:00~02:00(익일),"주민등록등본,주민등록초본,개별공시지가확인서,토지이용계획확인서,토지(임야)대장등본,대지권등록부,건축물대장(일반건축물대장,건축물대장총괄표제부,집합건축물대장(표제부),집합건축물대장(전유부분)),건설기계등록원부,건설기계등록원부(갑),건설기계등록원부(을),자동차등록원부,자동차등록원부(갑),자동차등록원부(을),수급자증명서,장애인증명서,한부모가족증명서,농지원부,병적증명서(군복무필자,면제자,제1국민역),지방세세목별과세증명서(취득세,등록세,면허세,주민세,재산세,자동차세,농업소득세,도축세,레저세,담배소비세,종합토지세,주행세,지방소비세,등록면허세,사업소세,지역개발세,지역자원시설세,지방소득세),어선원부,졸업증명서(국문,영문),졸업예정증명서,제적(정원외관리)증명서,성적증명서,학교생활기록부,교육비납입증명서,검정고시합격증명서(국문,영문),검정고시성적증명서(국문,영문),검정고시과목합격증명서,사업자등록증명,휴업사실증명,폐업사실증명,납세증명,납세사실증명,소득금액증명,부가가치세과세표준증명,부가가치세면세사업자수입금액증명,연금보험료등소득세액공제확인서,사업자단위과세적용종된사업자증명,모범납세자증명,근로(자녀)장려금수급사실증명,소득확인증명(서민형개인종합자산관리계좌가입용),지역가입자 건강장기요양보험료 납부확인서,지역가입자 건강장기요양보험료 납부확인서(연말정산용),직장가입자 건강장기요양보험료 납부확인서,지역가입자 국민연금보험료 납부확인서,건강보험 자격확인서,건강보험 자격득실확인서,농업경영체 증명서 발급 신청,농업경영체 등록(변경등록) 확인서 교부 신청,운전경력증명서(국문),운전경력증명서(영문),교통사고사실확인원",경상남도 양산시 물금읍 메기로 270,경상남도 양산시 물금읍 범어리 153-7,경상남도 양산시청,055-392-2353,35.31688473,129.013941,2026-02-25
