시도,시군구,설치장소,설치장소 도로명주소,위도,경도,연락처,신용카드가능여부,평일운영시작시간,평일운영종료시간,주말운영시작시간,주말운영종료시간,데이터기준일
경상북도,김천시,대신동행정복지센터,경상북도 김천시 신양1길 22,36.13530312,128.1158547,054-421-2379,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,대곡동행정복지센터,경상북도 김천시 부곡길 2,36.12440243,128.0893202,054-421-2410,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,대신동민원중계소,경상북도 김천시 구읍길 122,36.14019742,128.0954054,054-421-2378,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,평화남산동행정복지센터,경상북도 김천시 평화순환길 291,36.12059366,128.1161328,054-421-2337,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,김천시청,경상북도 김천시 시청1길 1,36.13971293,128.1133056,054-420-6287,여,08:00,22:00,08:00,22:00,2026-03-11
경상북도,김천시,자산동행정복지센터,경상북도 김천시 용암로 27,36.12232113,128.1278222,054-421-2319,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,율곡동행정복지센터,경상북도 김천시 혁신4로 21,36.12145483,128.1835992,054-421-2466,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,지좌동행정복지센터,경상북도 김천시 영남대로 1940,36.12000628,128.1423376,054-421-2442,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,양금동행정복지센터,경상북도 김천시 강변로 178,36.11046472,128.1233931,054-421-2363,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,아포읍행정복지센터,경상북도 김천시 아포읍 국사길 63,36.15987507,128.2533991,054-421-2020,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,농업기술센터,경상북도 김천시 구성면 남김천대로 3296-22,36.0776167,128.0994811,054-421-2552,부,09:00,18:00,09:00,18:00,2026-03-11
경상북도,김천시,김천세무서,경상북도 김천시 평화길 128,36.12266074,128.1129253,054-421-2337,여,09:00,18:00,09:00,18:00,2026-03-11
경상북도,김천시,김천시청 옥외,경상북도 김천시 시청1길 1,36.13971293,128.1133056,054-420-6287,여,00:00,23:59,00:00,23:59,2026-03-11
경상북도,김천시,대신동행정복지센터옥외,경상북도 김천시 신양1길 22,36.13530312,128.1158547,054-421-2379,여,00:00,23:59,00:00,23:59,2026-03-11
경상북도,김천시,율곡동행정복지센터옥외,경상북도 김천시 혁신4로 21,36.12145483,128.1835992,054-421-2466,여,00:00,23:59,00:00,23:59,2026-03-11
경상북도,김천시,어모면행정복지센터,경상북도 김천시 어모면 어모로 279,36.18027461,128.1189567,054-421-2121,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,지례면행정복지센터,경상북도 김천시 지례면 상부길 101,35.98481157,128.0266577,054-421-2235,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,대곡동행정복지센터옥외,경상북도 김천시 부곡길 2,36.12440243,128.0893202,054-421-2410,여,00:00,23:59,00:00,23:59,2026-03-11
경상북도,김천시,김천의료원,경상북도 김천시 모암길 24,36.12266558,128.1260008,054-421-2319,여,00:00,23:59,00:00,23:59,2026-03-11
경상북도,김천시,봉산면행정복지센터,경상북도 김천시 봉산면 예지송정길 11,36.14150953,128.0602491,054-421-2138,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,감문면행정복지센터,경상북도 김천시 감문로 1055,36.21393947,128.18157,054-421-2095,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,대덕면행정복지센터,경상북도 김천시 대덕면 남김천대로 721,35.917826,127.96883,054-421-2279,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,부항면행정복지센터,경상북도 김천시 부항면 부항로 834,35.990163,127.955139,054-421-2255,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,아포읍행정복지센터,경상북도 김천시 아포읍 국사길 63,36.159839,128.253387,054-421-2011,여,09:00,18:00,00:00,00:00,2026-03-11
경상북도,김천시,김천시립추모공원,경상북도 김천시 봉산면 영남대로 431,36.172961,128.020675,054-421-2138,여,09:00,17:00,09:00,17:00,2026-03-11
경상북도,김천시,김천제일병원,경상북도 김천시 신음1길 12,36.135309,128.118906,054-421-2379,여,00:00,23:59,00:00,23:59,2026-03-11
