연번,관리기관명,발급기명,도로명주소,설치장소상세위치,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,운영시간참고내용,사용여부명,장애인편의기능정보,등기사항증명서발급여부,가족관계증명서발급여부,데이터기준일
1,대전광역시 대덕구,목상동 대덕우체국,"대전광역시 대덕구 문평동로 16, 대전대덕우체국 (문평동)",대덕우체국 현관 입구,09:00,23:00,09:00,23:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
2,대전광역시 대덕구,송촌동 행정복지센터,대전광역시 대덕구 동춘당로94번길 11 (송촌동),1층,07:00,23:00,07:00,23:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
3,대전광역시 대덕구,덕암동행정복지센터,대전광역시 대덕구 덕암북로104번길 60(덕암동),덕암동주민센터 현관,00:00,00:00,00:00,00:00,24시간 운영,사용,장애인 편의 기능 포함(일반),발급,발급,2026-06-16
4,대전광역시 대덕구,와동 회덕농협 ,대전광역시 대덕구 신탄진로 232(와동),회덕농협 와동지점 ,08:00,23:00,08:00,23:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
5,대전광역시 대덕구,오정동우리은행,대전광역시 대덕구 한밭대로 1027 (오정동),우리은행 입구,08:00,23:00,08:00,23:00,,사용,장애인 편의 기능 포함(일반),미발급,발급,2026-06-16
6,대전광역시 대덕구,대화동하나은행,"대전광역시 대덕구 대화로 120, 가온비즈타워 (대화동)",하나은행 대화동점 ATM자동화기기코너,00:00,00:00,00:00,00:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
7,대전광역시 대덕구,중리동행정복지센터 ,대전광역시 대덕구 중리남로 47(중리동),중리동주민센터 현관 내부,00:00,00:00,00:00,00:00,,사용,장애인 편의 기능 포함(일반),미발급,발급,2026-06-16
8,대전광역시 대덕구,법1동 중리종합사회복지관,"대전광역시 대덕구 계족로663번길 34 (법동, 주공아파트)",중리종합사회복지관 건물 1층 로비(주공3단지 관리사무소 옆),08:00,19:00,09:00,18:00,건물 개방시간에 따른 변동 가능,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
9,대전광역시 대덕구,법2동 보람코아상가,"대전광역시 대덕구 동춘당로 178 (법동, 보람아파트)",보람코아상가 1층 정문,09:00,21:00,09:00,21:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
10,대전광역시 대덕구,석봉동 금강엑슬루타워상가,"대전광역시 대덕구 대덕대로 1555 (석봉동, 금강엑슬루타워)",금강엑슬루타워상가 입구 경비실 옆,08:00,21:00,08:00,21:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
11,대전광역시 대덕구,석봉동 대덕신협,"대전광역시 대덕구 석봉로 37, 대덕신협본점 (석봉동)",대전대덕신협본점 현관 입구,06:00,23:00,06:00,23:00,,사용,장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품),미발급,미발급,2026-06-16
12,대전광역시 대덕구,오정동 한남대,대전광역시 대덕구 한남로 65 (오정동),한남대학교캠퍼스타운 입구,08:00,23:00,08:00,23:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
13,대전광역시 대덕구,덕암동 대전북부새마을금고,대전광역시 대덕구 덕암북로 84(덕암동),새마을금고 ATM 옆 ,06:00,23:00,06:00,23:00,연중 무휴,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
14,대전광역시 대덕구,송촌동 하나은행,"대전광역시 대덕구 동춘당로 115, 한빛빌딩 (송촌동)",한빛빌딩 1층내,08:00,21:00,08:00,21:00,,사용,장애인 편의 기능 포함(일반),미발급,미발급,2026-06-16
15,대전광역시 대덕구,대덕구청,대전광역시 대덕구 대전로1033번길 20(오정동),대덕구청 1층 현관,00:00,00:00,00:00,00:00,24시간 운영,사용,장애인 편의 기능 포함(일반),미발급,발급,2026-06-16
16,대전광역시 대덕구,신탄진동행정복지센터 ,"대전광역시 대덕구 대청로 5 (신탄진동, 신탄진동 행정복지센터, 신탄진 다가온)",신탄진동행정복지센터 입구,08:30,22:00,08:30,22:20,,사용,장애인 편의 기능 포함(일반),발급,발급,2026-06-16
17,대전광역시 대덕구,비래동행정복지센터,대전광역시 대덕구 비래동로 10(비래동),비래동주민센터 입구,00:00,00:00,00:00,00:00,24시간 운영,사용,장애인 편의 기능 포함(일반),발급,발급,2026-06-16
