관리번호,설치장소,설치위치,소재지도로명주소,평일운영,공휴일운영
1,서구청,1층 민원실 앞,대전광역시 서구 둔산서로 100,24시간,24시간
2,을지대학병원,1층 관절센터앞,대전광역시 서구 둔산서로 95,24시간,24시간
3,건양대학병원,1층 로비 원무과 옆,대전광역시 서구 관저동로 158,24시간,24시간
4,샘머리코아,1층 북문 (농협 입구),대전광역시 서구 청사로 281,24시간,24시간
5,목원대학교,학생회관 1층 현관,대전광역시 서구 도안북로 88,24시간,24시간
6,용문동행정복지센터,1층 민원실 앞,대전광역시 서구 계룡로 626-1,24시간,24시간
7,대전시청,2층 시민봉사실 앞,대전광역시 서구 둔산로 100,07:00~22:00,07:00~22:00
8,갤러리아백화점,서관 지하2층,대전광역시 서구 대덕대로 211,매장 영업 시간내,매장 영업 시간내
9,도안동행정복지센터,1층 정문,대전광역시 서구 원도안로242번길 33,24시간,24시간
10,국민연금관리공단(탄방동),1층 민원실 앞,대전광역시 서구 문정로 6,8:00~21:00,8:00~21:00
11,하나은행(도마지점),1층 365코너,대전광역시 서구 도산로 51,7:00~23:00,7:00~23:00
12,새마을금고(도안지점),1층 365코너,대전광역시 서구 원도안로 43,7:00~23:00,7:00~23:00
13,서부농협(용문지점),1층 365코너,대전광역시 서구 도산로 343,7:00~23:00,7:00~23:00
14,하나은행(도안신도시출장소),1층 365코너,대전광역시 서구 동서대로 700,7:00~23:00,7:00~23:00
15,이마트(둔산점),1층 주차장쪽 출입구,대전광역시 서구 둔산북로 41,매장 영업 시간내,매장 영업 시간내
16,이마트(월평점),1층 ATM 옆,대전광역시 서구 한밭대로 580,매장 영업 시간내,매장 영업 시간내
18,대전서부신협 본점,1층 365코너,대전광역시 서구 계룡로629번길 62,06:00~24:00,06:00~24:00
19,둔산1동행정복지센터,1층 민원실,대전광역시 서구 둔산중로 65,8:30~18:00,발급불가
20,갈마2동행정복지센터,1층 민원실,대전광역시 서구 대덕대로 147,8:30~18:00,발급불가
21,관저1동행정복지센터,1층 민원실,대전광역시 서구 관저북로 24,8:30~18:00,발급불가
22,갈마1동행정복지센터,1층 민원실,대전광역시 서구 신갈마로 191,8:30~18:00,발급불가
23,관저2동행정복지센터,1층 민원실,대전광역시 서구 관저중로 82,8:30~18:00,발급불가
24,대전지방법원,별관 1층 종합민원실 옆,대전광역시 서구 둔산중로78번길45,9:00~18:00,발급불가
25,행복문화공간 사랑愛(복수동),1층 입구,대전광역시 서구 복수서로 26,화~토 09:00~18:00,(일·월·공휴일 발급불가)
26,고용복지센터(탄방동),1층 로비,대전광역시 서구 문정로 56,9:00~18:00,발급불가
27,서대전세무서,1층 민원봉사실,대전광역시 서구 둔산서로 70,9:00~18:00,발급불가
28,국민건강보험공단(만년동),1층 민원실 앞,대전광역시 서구 만년로68번길 15-13,8:00~18:30,발급불가
29,배재대학교,21세기관 1층,대전광역시 서구 배재로 155-40,24시간,24시간
30,복수동행정복지센터,1층 민원실 앞,대전광역시 서구 복수동로 49,9:00~18:00,발급불가
31,도마1동행정복지센터,1층 민원실 앞,대전광역시 서구 도마3길 46,9:00~18:00,발급불가
32,도마2동행정복지센터,1층 민원실 앞,대전광역시 서구 도림1길 14,9:00~18:00,발급불가
33,정림동행정복지센터,1층 민원실 출입구,대전광역시 서구 정림동로 10,24시간,24시간
34,괴정동행정복지센터,1층 민원실 출입구,대전광역시 서구 가장로 57,9:00~18:00,발급불가
35,월평3동행정복지센터,1층 민원실 앞,대전광역시 서구 청사로 27-9,9:00~18:00,발급불가
36,가수원동행정복지센터,1층 민원실 출입구,대전광역시 서구 가수원로 105,24시간,24시간
37,기성동행정복지센터,1층 민원실 앞,대전광역시 서구 흑석1길 16,9:00~18:00,발급불가
38,관저문예회관,1층 엘리베이터 앞,대전광역시 서구 관저동로105번길 20,09:00~18:00,(월요일 발급불가)
39,변동행정복지센터,1층 민원실 앞,대전광역시 서구 중반5길 133,09:00~18:00,발급불가
40,둔산3동행정복지센터,1층 민원실 앞,대전광역시 서구 둔산북로 232-52,09:00~18:00,발급불가
41,내동행정복지센터,1층 민원실 앞,대전광역시 서구 도솔로 247,09:00~18:00,발급불가
42,월평2동행정복지센터,1층 민원실 앞,대전광역시 서구 갈마역로 145,09:00~18:00,발급불가
