"관리번호","무인민원발급기명","설치장소주소","설치장소상세위치","평일시작시분","평일종료시분","휴일시작시분","휴일종료시분","운영시간참고내용","설치운영URL","사용여부명","장애인편의발급기형태","시각장애인용키패드","시각장애인용음성안내","청각장애인용화면안내","점자라벨부착","이어폰소켓","촉각(전자)모니터","화면확대기능","휠체어탄사용자조작","최종수정일자"
"501","화곡역","서울특별시 강서구 화곡로 지하 168(화곡동)[화곡동 1089-54 화곡역 5호선]","화곡역(5호선) 중앙 통로","05:00 ","02:00 ","05:00 ","02:00 ","","https://www.gangseo.seoul.kr/gs0101071","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-28 09:57:38"
"520","시흥3동 주민센터","서울특별시 금천구 시흥대로18길 40(시흥동)","시흥3동 주민센터 민원실 입구 정면기준 좌측에 위치","09:00 ","18:00 ","      ","      ","","https://www.geumcheon.go.kr/portal/contents.do?key=177","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-28 09:33:47"
"508","신촌동주민센터","서울특별시 서대문구 연세로2나길 47, 신촌동 주민센터 (창천동)","신촌동주민센터 1층 민원실","09:00 ","18:00 ","      ","      ","","http://www.sdm.go.kr/civil/print/automaic.do","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-27 13:04:36"
"506","충현동자치회관","서울특별시 서대문구 경기대로 40(충정로3가)","충현동자치회관","09:00 ","18:00 ","      ","      ","","http://www.sdm.go.kr/civil/print/automaic.do","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-27 13:04:31"
"402","불광2동주민센터KIOSK","서울특별시 은평구 연서로 282(불광동)","불광2동 주민센터 내","08:00 ","19:00 ","      ","      ","토.일요일 및 공휴일 미운영","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000000763","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-26 10:05:39"
"416","삼육서울병원","서울특별시 동대문구 망우로 82, 삼육서울병원 본관 1층 CU 옆  (휘경동)","삼육서울병원 본관 1층 CU 옆","08:00 ","02:00 ","08:00 ","02:00 ","","http://www.ddm.go.kr/civil/multiCivilNoPeople.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-25 21:10:46"
"406","더좋은새마을금고","서울특별시 동대문구 망우로 129, 더좋은새마을금고 1층 (휘경동)","새마을금고 1층 ATM창구","07:00 ","23:30 ","07:00 ","23:30 ","","http://www.ddm.go.kr/civil/multiCivilNoPeople.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-25 21:10:04"
"506","휘경1동주민센터","서울특별시 동대문구 외대역동로6길 3(휘경동)[서울특별시 동대문구 휘경동 135번지 9호]","휘경1동주민센터 2층 민원실","09:00 ","18:00 ","      ","      ","주말휴무","http://www.ddm.go.kr/civil/multiCivilNoPeople.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-25 21:10:04"
"501","회기역","서울특별시 동대문구 회기로 196(휘경동, 회기역)","지하철1호선 회기역 2번출구 2층 왼편","00:00 ","2400  ","00:00 ","2400  ","","http://www.ddm.go.kr/civil/multiCivilNoPeople.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-08-25 21:10:04"
"427","동대문경찰서 민원봉사실","서울특별시 동대문구 약령시로21길 29, 동대문경찰서 (청량리동)","민원봉사실 1층 출입문 들어가서 오른쪽","09:00 ","18:00 ","      ","      ","주말휴무","http://www.ddm.go.kr/civil/multiCivilNoPeople.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-25 21:08:40"
