설치장소,설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
목1동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동서로 192(목동),서울특별시 양천구 목동 919-3,서울특별시 양천구 목1동 주민센터,02-2620-3951,37.53036455,126.8711885,2020-05-01
목1동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동서로 192(목동),서울특별시 양천구 목동 919-3,서울특별시 양천구 목1동 주민센터,02-2620-3951,37.53036455,126.8711885,2020-05-01
목2동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동중앙본로 120(목동),서울특별시 양천구 목동 530-6,서울특별시 양천구 목2동 주민센터,02-2084-5289,37.54614341,126.8717,2020-05-01
목2동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동중앙본로 120(목동),서울특별시 양천구 목동 530-6,서울특별시 양천구 목2동 주민센터,02-2084-5289,37.54614341,126.8717,2020-05-01
목3동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동중앙남로16나길 55(목동),서울특별시 양천구 목동 642-1,서울특별시 양천구 목3동 주민센터,02-2620-3996,37.54474055,126.8644377,2020-05-01
목4동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동중앙로 25(목동),서울특별시 양천구 목동 904-19,서울특별시 양천구 목4동 주민센터,02-2620-4010,37.53243377,126.8683972,2020-05-01
목5동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 목동서로 41(목동),서울특별시 양천구 목동 908-32,서울특별시 양천구 목5동 주민센터,02-2620-4024,37.53718352,126.8817175,2020-05-01
신월1동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 곰달래로1길 38(신월동),서울특별시 양천구 신월동 135-18,서울특별시 양천구 신월1동 주민센터,02-2620-4054,37.53280499,126.8315268,2020-05-01
신월2동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 중앙로53길 47(신월동),서울특별시 양천구 신월동 483-11,서울특별시 양천구 신월2동 주민센터,02-2620-4077,37.52497336,126.8445677,2020-05-01
신월3동 주민센터,민원실,09:00~18:00,주민등록등초본+가족관계등록부+교육제증명+토지/건축물대장+등기부등본,서울특별시 양천구 남부순환로54길 5(신월동),서울특별시 양천구 신월동 167-5,서울특별시 양천구 신월3동 주민센터,02-2620-4094,37.5336304,126.8290812,2020-05-01
