연번,설치장소,도로명주소,지번주소,상세주소,운영시간
1,부평구청-외부1,인천광역시 부평구 부평대로 168,인천광역시 부평구 부평동 879,옥외부스,24시간
2,부평구청-외부2,인천광역시 부평구 부평대로 168,인천광역시 부평구 부평동 879,옥외부스,24시간
3,부평구보건소,인천광역시 부평구 부흥로 291,인천광역시 부평구 부평동 442-1,옥외부스,24시간
4,부평1동 행정복지센터,인천광역시 부평구 부평문화로37번길 1,인천광역시 부평구 부평동 70-126,옥외부스,24시간
5,부평4동 행정복지센터,인천광역시 부평구 주부토로 65,인천광역시 부평구 부평동 434-3,옥외부스,24시간
6,부평5동 행정복지센터,인천광역시 부평구 부평문화로106번길 17,인천광역시 부평구 부평동 548-1,1층 출입구,24시간
7,부평6동 행정복지센터,인천광역시 부평구 동수로 70,인천광역시 부평구 부평동 663-23,1층 출입구,24시간
8,산곡2동 행정복지센터,인천광역시 부평구 안남로 255,인천광역시 부평구 산곡동 124-118,옥외부스,24시간
9,청천1동 행정복지센터,인천광역시 부평구 산청로 119,인천광역시 부평구 청천동 473,1층 출입구,24시간
10,청천2동 행정복지센터,인천광역시 부평구 마장로410번길 5,인천광역시 부평구 청천동 178-43,1층 출입구,24시간
11,갈산2동 행정복지센터,인천광역시 부평구 주부토로 173,인천광역시 부평구 갈산동 365-1,옥외부스,24시간
12,삼산1동 행정복지센터,인천광역시 부평구 부평북로 447,인천광역시 부평구 삼산동 390-3,1층 무인민원발급창구,24시간
13,삼산2동 행정복지센터,인천광역시 부평구 굴포로 137,인천광역시 부평구 삼산동 451-3,1층 출입구,24시간
14,부개2동 행정복지센터,인천광역시 부평구 동수천로 104,인천광역시 부평구 부개동 106-45,옥외부스,24시간
15,부개3동 행정복지센터,인천광역시 부평구 길주남로 117,인천광역시 부평구 부개동 12-17,1층 출입구,24시간
16,십정1동 행정복지센터,인천광역시 부평구 열우물로 103,인천광역시 부평구 십정동 279-20,옥외부스,24시간
17,한국지엠 서문,인천광역시 부평구 부평대로 233,인천광역시 부평구 청천동 199,서문 출입구 옥외부스,24시간
18,부평세무서,인천광역시 부평구 부평대로 147,인천광역시 부평구 부평동 44-9,1층 민원실 내부,09~18시(토·공휴일 제외)
19,부평역,인천광역시 부평구 광장로 16,인천광역시 부평구 부평동 738-21,역사 지하 개찰구,05시~익일01시
20,부개역,인천광역시 부평구 수변로 22,인천광역시 부평구 부개동 468,역사 개찰구,05시~익일01시
21,동암역,인천광역시 부평구 동암광장로 10,인천광역시 부평구 십정동 541,역사 개찰구,05시~익일01시
22,인천성모병원,인천광역시 부평구 동수로 56,인천광역시 부평구 부평동 665-8,본관 1층 출입구,05시~익일01시
23,인천가족공원,인천광역시 부평구 평온로 61,인천광역시 부평구 부평동 768-376,승화원 접수실 내부,06~18시
