발급기설치위치,도로명주소,지번주소,운영시간,데이터기준일자
서해구청 1호기(서해구청 본관 로비),인천광역시 서해구 서곶로 307,인천광역시 서해구 심곡동 244,24시간(연중무휴),2026-07-15
서해구청 2호기(서해구청 본관 로비),인천광역시 서해구 서곶로 307,인천광역시 서해구 심곡동 244,24시간(연중무휴),2026-07-15
가좌2동 우체국(ATM창구 좌측),인천광역시 서해구 원적로96번길 27,인천광역시 서해구 가좌동 12,08:00-22:00(연중무휴),2026-07-15
가좌동 M-PARK(엠파크타워)(1층 안내데스크),인천광역시 서해구 봉수대로 158,인천광역시 서해구 가좌동 178-105,08:00-22:00(연중무휴),2026-07-15
신현원창동 행정복지센터(후문 좌측 외부부스),인천광역시 서해구 새오개로78번길 16,인천광역시 서해구 신현동 133-3,08:00-22:00(연중무휴),2026-07-15
공항철도 검암역사(검암역사 내),인천광역시 서해구 검바위로 26,인천광역시 서해구 검암동 414-204,07:00-23:00(연중무휴),2026-07-15
청라2동 행정복지센터(정문입구 외부부스),인천광역시 서해구 청라커낼로 269,인천광역시 서해구 청라동 155-14,07:00-24:00(연중무휴),2026-07-15
청라1동 행정복지센터(정문입구 외부부스),인천광역시 서해구 청라라임로 58,인천광역시 서해구 청라동 165-5,08:00-22:00(연중무휴),2026-07-15
검암경서동 행정복지센터(정문입구 외부부스),인천광역시 서해구 승학로 480,인천광역시 서해구 검암동 606-8,07:00-22:00(연중무휴),2026-07-15
청라5단지 내(청라힐스테이트 - 반도유보라 사이),인천광역시 서해구 솔빛로 63,인천광역시 서해구 청라동 103-29,08:00-22:00(연중무휴),2026-07-15
가좌1동 행정복지센터(민원실 입구),인천광역시 서해구 가정로112번길 10,인천광역시 서해구 가좌동 145-19,08:00-22:00(연중무휴),2026-07-15
인천지하철2호선 석남역사(석남역사내),인천광역시 서해구 가석로 257(지하),인천광역시 서해구 석남동 600,08:00-22:00(연중무휴),2026-07-15
경서동 경로당(출입문 우측 외부부스),인천광역시 서해구 경서로55번길 7(1층),인천광역시 서해구 경서동 744-13,08:00-22:00(연중무휴),2026-07-15
가좌2동 행정복지센터(정문 우측 외부부스),인천광역시 서해구 장고개로309번길 4,인천광역시 서해구 가좌동 30-105,08:00-22:00(연중무휴),2026-07-15
참사랑병원(본관 외부 1층),인천광역시 서해구 원창로240번길 9,인천광역시 서해구 가정동 511-6,08:00-22:00(연중무휴),2026-07-15
성민병원(신관 정문 옆 외부부스),인천광역시 서해구 신석로 70,인천광역시 서해구 석남동 523-1,08:00-22:00(연중무휴),2026-07-15
청라6단지(경연초등학교 정문 맞은편),인천광역시 서해구 차오름로65,인천광역시 서해구 청라동 46-53,08:00-22:00(연중무휴),2026-07-15
나은병원(신관 입구 우측 로비),인천광역시 서해구 원적로 23,인천광역시 서해구 가좌3동 277-7,08:00-22:00(연중무휴),2026-07-15
국제성모병원(중앙로비 제증명발급창구 맞은편),인천광역시 서해구 심곡로 100번길 25,인천광역시 서해구 심곡동 291,08:00-22:00(연중무휴),2026-07-15
연희동 행정복지센터(주차장 입구),인천광역시 서해구 간촌로 12,인천광역시 서해구 연희동 712,08:00-22:00(연중무휴),2026-07-15
청라3동 행정복지센터(정문 우측 외부부스),인천광역시 서해구 청라한내로 89,인천광역시 서해구 청라동,08:00-22:00(연중무휴),2026-07-15
인천지하철2호선 가정역사(4번출구 여자화장실 앞),인천광역시 서해구 봉오대로 234,인천광역시 서해구 가정동 산 116-5,07:00-23:00(연중무휴),2026-07-15
가정1동 행정복지센터(주출입구 옆),인천광역시 서해구 가정로406번길 25,인천광역시 서해구 가정동,08:00-22:00(연중무휴),2026-07-15
가정2동 행정복지센터(주출입구 우측),인천광역시 서해구 서곶로 100,인천광역시 서해구 가정동,08:00-22:00(연중무휴),2026-07-15
석남2동 행정복지센터(본관 옆),인천광역시 서해구 거북로 116,인천광역시 서해구 석남동 573,08:00-22:00(연중무휴),2026-07-15
인천지하철2호선 가재울역사(역사 지하1층),인천광역시 서해구 열우물로 252,인천광역시 서해구 가좌동 288,07:00-23:00(연중무휴),2026-07-15
