연번,발급기명,설치장소주소,설치장소상세위치,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,도입연월,데이터기준일
1,인천중구민원실,인천광역시 중구 신포로27번길 80(관동1가),민원실 로비,0:00,24:00:00,0:00,24:00:00,2022-02-16,2025-07-25
2,운서동 행정복지센터1,인천광역시 중구 흰바위로27번길 10(운서동),운서동행정복지센터 민원실 내부,9:00,18:00,,,2016-11-02,2025-07-25
3,영종동 행정복지센터,인천광역시 중구 운남서로 100(운남동),영종동 주민센터 입구,0:00,24:00:00,0:00,24:00:00,2007-08-01,2025-07-25
4,인천중구연안여객터미널,인천광역시 중구 연안부두로 70(항동7가),연안여객터미널 1층 로비,5:00,21:00,5:00,21:00,2007-08-01,2025-07-25
5,인천국제공항 T2,인천광역시 중구 공항로 272(운서동),인천국제공항 제2여객터미널 2층 통합민원실 내부,0:00,24:00:00,0:00,24:00:00,2009-05-01,2025-07-25
6,인천국제공항 T1,인천광역시 중구 공항로 272(운서동),인천국제공항 3층 F카운터 뒤편,0:00,24:00:00,0:00,24:00:00,2009-05-01,2025-07-25
7,인하대병원,인천광역시 중구 인항로 27(신흥동3가),인하대병원 1층 로비,0:00,24:00:00,0:00,24:00:00,2010-01-21,2025-07-25
8,영종1동 행정복지센터1,인천광역시 중구 하늘달빛로 120(중산동),영종1동 행정복지센터 로비,0:00,24:00:00,0:00,24:00:00,2013-06-05,2025-07-25
9,동인천동 행정복지센터,인천광역시 중구 참외전로72번길 25(전동),동인천동 주민센터 입구 실외,0:00,24:00:00,0:00,24:00:00,2015-04-11,2025-07-25
10,용유동 행정복지센터,인천광역시 중구 마시란로 308-13(남북동),용유동주민센터 로비,0:00,24:00:00,0:00,24:00:00,2015-04-01,2025-07-25
11,신흥동 행정복지센터,인천광역시 중구 제물량로80번길 3-14(신흥동2가),신흥동주민센터 입구,0:00,24:00:00,0:00,24:00:00,2015-07-21,2025-07-25
12,운서동 행정복지센터2,인천광역시 중구 흰바위로27번길 10(운서동),운서동 행정복지센터 로비,0:00,24:00:00,0:00,24:00:00,2019-03-04,2025-07-25
13,영종1동 행정복지센터2,인천광역시 중구 하늘달빛로 120(중산동),영종1동 행정복지센터2 민원실 내부,0:00,24:00:00,0:00,24:00:00,2017-05-22,2025-07-25
14,인천국제공항 T2-2,인천광역시 중구 공항로 272(운서동),인천국제공항 제2여객터미널 2층 통합민원실 내부,9:00,18:00,,,2018-06-15,2025-07-25
15,인천국제공항 T1-2,인천광역시 중구 공항로 272(운서동),인천국제공항 3층 F카운터 뒷편,0:00,24:00:00,0:00,24:00:00,2018-06-15,2025-07-25
16,인천출입국 외국인청,"인천광역시 중구 서해대로 393, 인천출입국관리사무소 (항동7가)",입구 앞 주차장 실외부스,0:00,24:00:00,0:00,24:00:00,2019-03-07,2025-07-25
17,연안동행정복지센터,"인천광역시 중구 축항대로86번길 44, 연안동행정복지센터 (항동7가)",청사입구,0:00,24:00:00,0:00,24:00:00,2020-02-07,2025-07-25
18,개항동 어울터,인천광역시 중구 참외전로37번길 5(송월동1가),1층 개항동주민편익시설 우측,0:00,24:00:00,0:00,24:00:00,2021-07-08,2025-07-25
19,공항철도 운서역,"인천광역시 중구 흰바위로59번길 26, 운서역 (운서동)",1층대합실,0:00,24:00:00,0:00,24:00:00,2022-07-26,2025-07-25
20,인천공항행정지원센터,인천광역시 중구 공항동로296번길 69(운서동),1층로비,0:00,24:00:00,0:00,24:00:00,2022-07-26,2025-07-25
21,영종2동행정복지센터,"인천광역시 중구 은하수로 160, 영종2동 행정복지센터 (중산동)",1층 로비 ,0:00,24:00:00,0:00,24:00:00,2024-01-03,2025-07-25
