연번,설치장소,도로명주소,운영시간,발급가능종수,등기사무,가족관계사무,데이터기준일자
1,남구청 본관1층,전남광주통합특별시 남구 봉선로1,00:00~24:00,123,○,○,2026-07-27
2,종합민원실(본관 1층),전남광주통합특별시 남구 봉선로1,09:00~22:00,123,○,○,2026-07-27
3,남구청 외부24시(별관 1층),전남광주통합특별시 남구 봉선로1,00:00~24:00,120,X,○,2026-07-27
4,이마트 봉선점(1층 출입구),전남광주통합특별시 남구 봉선로198,10:00~22:00,110,X,X,2026-07-27
5,남부경찰서,전남광주통합특별시 남구 용대로74번안길 9-5 ,00:00~24:00,110,X,X,2026-07-27
6,웨슬리신협 효덕지점 (365코너),전남광주통합특별시 남구 서문대로659,06:00~24:00,120,X,○,2026-07-27
7,효천1지구 입하신협 (365코너),전남광주통합특별시 남구 효천2로 26,07:00~24:00,120,X,○,2026-07-27
8,광주 시각장애인복지관,천변좌로 382번길 6,00:00~24:00,110,X,X,2026-07-27
9,광주 기독병원(1층 접수창구 옆),전남광주통합특별시 남구 양림로37,00:00~24:00,110,X,X,2026-07-27
10,남광주신협(365코너),전남광주통합특별시 남구 봉선로 103,07:00~24:00,110,X,○,2026-07-27
11,샘신협 봉선지점(365코너),전남광주통합특별시 남구 봉선2로51,06:00~24:00,120,X,○,2026-07-27
12,양림동 행정복지센터,전남광주통합특별시 남구 백서로94,09:00~18:00,123,○,○,2026-07-27
13,방림1동 행정복지센터,전남광주통합특별시 남구 오방로 101-2,09:00~18:00,120,X,○,2026-07-27
14,방림2동 행정복지센터,전남광주통합특별시 남구 천변좌로566번다길12,09:00~18:00,120,X,○,2026-07-27
15,봉선1동 행정복지센터,전남광주통합특별시 남구 봉선로51번길21,09:00~18:00,123,○,○,2026-07-27
16,봉선2동 행정복지센터,전남광주통합특별시 남구 봉선중앙로26번길10,09:00~18:00,123,○,○,2026-07-27
17,사직동 행정복지센터,전남광주통합특별시 남구 중앙로95번길14,09:00~18:00,120,X,○,2026-07-27
18,월산동 행정복지센터,전남광주통합특별시 남구 덕림2길 3,09:00~18:00,120,X,○,2026-07-27
19,월산4동 행정복지센터,전남광주통합특별시 남구 대남대로390번길11,09:00~18:00,123,○,○,2026-07-27
20,월산5동 행정복지센터,전남광주통합특별시 남구 군분로82번길 14,09:00~18:00,120,X,○,2026-07-27
21,백운1동 행정복지센터,전남광주통합특별시 남구 독립로54번길20,09:00~18:00,120,X,○,2026-07-27
22,백운2동 행정복지센터,전남광주통합특별시 남구 진다리로6번길9,09:00~18:00,120,X,○,2026-07-27
23,주월1동 행정복지센터,전남광주통합특별시 남구 회서로21번가길13,09:00~18:00,123,○,○,2026-07-27
24,주월2동 행정복지센터,전남광주통합특별시 남구 군분로13번길12,09:00~18:00,120,X,○,2026-07-27
25,진월동 행정복지센터 ,전남광주통합특별시 남구 화산로15,09:00~18:00,123,○,○,2026-07-27
26,효덕동 행정복지센터,전남광주통합특별시 남구 효우로 200,09:00~18:00,123,○,○,2026-07-27
27,송암동 행정복지센터,전남광주통합특별시 남구 송암로 66,09:00~18:00,120,X,○,2026-07-27
28,대촌동 행정복지센터,전남광주통합특별시 남구 포충로591,09:00~18:00,120,X,○,2026-07-27
