설치장소,도로명주소,지번주소,연락처,운영시간(평일),운영시간(휴일),등기사무,가족관계사무
동구청민원실,광주광역시 동구 서남로 1(서석동),광주광역시 동구 서석동 31,062-608-3162,00:00~24:00,00:00~24:00,○,○
전남대병원 1병동 1층,광주광역시 동구 제봉로 42(학동),광주광역시 동구 학동 8,062-608-3162,07:00~20:00,07:00~20:00,X,○
조선대학교병원 본관 1층,광주광역시 동구 필문대로 365(학동),광주광역시 동구 학동 30-1,062-608-3162,07:00~20:00,07:00~20:00,X,○
충장동 행정복지센터,광주광역시 동구 충장로58번길 16(충장동),광주광역시 동구 충장로4가 32-2,062-608-3504,00:00~24:00,00:00~24:00,○,○
광주세무서 1층 민원실,광주광역시 동구 중앙로 209(대인동),광주광역시 동구 대인동 163,062-608-3504,08:30~18:00,미운영,X,X
광주은행본점 1층 365코너 ,광주광역시 동구 제봉로 225(대인동),광주광역시 동구 대인동 7-12,062-608-3504,08:00~22:00,08:00~22:00,X,X
동명동 행정복지센터,광주광역시 동구 동명로26번길13(동명동),광주광역시 동구 동명동 156-4,062-608-3539,09:00~18:00,미운영,X,○
계림1동 행정복지센터,광주광역시 동구 경양로247번길 26(계림동),광주광역시 동구 계림동 178-38,062-608-3568,09:00~18:00,미운영,X,○
계림2동 행정복지센터,광주광역시 동구 동계로 68(계림동),광주광역시 동구 계림동 196-3,062-608-3596,09:00~18:00,미운영,X,○
동광주새마을금고 산수지점,광주광역시 동구 경양로 321(산수동),광주광역시 동구 산수동 491-11,062-608-3629,07:00~23:50,07:00~23:50,X,○
산수1동 행정복지센터,광주광역시 동구 무등로449번길 12(산수동),광주광역시 동구 산수동 541-10,062-608-3629,09:00~18:00,미운영,X,○
산수2동 행정복지센터,광주광역시 동구 필문대로191번길 43-24(산수동),광주광역시 동구 산수동 512-3,062-608-3658,09:00~18:00,미운영,X,○
지산1동 행정복지센터,광주광역시 동구 지산로 57(지산동),광주광역시 동구 지산동 448-49,062-608-3686,09:00~18:00,미운영,X,○
광주지방법원 무인등본 발급실 ,광주광역시 동구 준법로 7-12(지산동),광주광역시 동구 지산동 342-1,062-608-3718,09:00~18:00,미운영,X,○
지산2동 행정복지센터,광주광역시 동구 지호로 51(지산동),광주광역시 동구 지산동 232-46,062-608-3718,00:00~24:00,00:00~24:00,X,○
서남동 행정복지센터,광주광역시 동구 서남로 14(서석동),광주광역시 동구 서석동 29,062-608-3748,09:00~18:00,미운영,X,○
학동 행정복지센터,"광주광역시 동구 남문로753번길 20, 무등산아이파크 상가101호(학동)",광주광역시 학동 1022,062-608-3776,09:00~18:00,미운영,X,○
학운동 행정복지센터,광주광역시 동구 의재로 53(학동),광주광역시 학동 720-10,062-608-3807,08:30~18:00,미운영,○,○
지원1동 행정복지센터,광주광역시 동구 지원로 31-9(소태동),광주광역시 동구 소태동 486-1,062-608-3839,09:00~18:00,미운영,X,○
지원2동 행정복지센터,광주광역시 동구 화산로 361(용산동),광주광역시 동구 용산동 269-1,062-608-3864,09:00~18:00,미운영,X,○
