기기명,주소,위도,경도,평일시간,휴일시간
신가동행정복지센터,광주광역시 광산구 목련로382번안길 36-1,35.17994173,126.8359395,09:00~18:00,00:00-00:00
광주비아농협풍영지점,광주광역시 광산구 수등로 264,35.18491655,126.8378229,07:00~23:00,07:00~23:00
본량동행정복지센터,광주광역시 광산구 용진로 379,35.18118405,126.7285596,05:00~03:00,05:00~03:00
삼도동행정복지센터,광주광역시 광산구 오운로 433-1,35.16220711,126.6975795,05:00~03:00,05:00~03:00
동곡동행정복지센터,광주광역시 광산구 동곡로 151-56,35.09839505,126.7720857,09:00~18:00,00:00-00:00
임곡동행정복지센터,광주광역시 광산구 고봉로 788,35.21959848,126.7447902,05:00~03:00,05:00~03:00
평동행정복지센터,광주광역시 광산구 평동로 790,35.12452441,126.7604342,05:00~03:00,05:00~03:00
비아동행정복지센터,광주광역시 광산구 비아중앙로31번길 6,35.22203604,126.8243311,05:00~03:00,05:00~03:00
첨단1동행정복지센터,광주광역시 광산구 첨단중앙로 160,35.21952708,126.8423636,00:00-24:00,00:00-24:00
월곡2동행정복지센터,광주광역시 광산구 산정공원로72번길 21-21,35.17435442,126.8080108,09:00~18:00,00:00-00:00
월곡1동행정복지센터,광주광역시 광산구 사암로 306,35.1717952,126.8097249,05:00~03:00,05:00~03:00
신흥동행정복지센터,광주광역시 광산구 신흥동안길 9,35.14533803,126.8004985,09:00~18:00,00:00-00:00
도산동행정복지센터,광주광역시 광산구 도산로 12,35.12951272,126.7918612,09:00~18:00,00:00-00:00
송정2동행정복지센터,광주광역시 광산구 광산로29번길 5,35.13909154,126.7944227,05:00~03:00,05:00~03:00
송정1동행정복지센터,광주광역시 광산구 광산로 70,35.14074573,126.7987813,09:00~18:00,00:00-00:00
광주보훈병원,광주광역시 광산구 첨단월봉로99,35.20804934,126.8494944,00:00-24:00,00:00-24:00
한마음새마을금고우산지점,광주광역시 광산구 금봉로 106-1,35.15185939,126.8098814,06:00~23:30,06:00~23:30
광주원예농협첨단미래지점,광주광역시 광산구 앰코로21,35.2197592,126.8524674,07:00~23:00,07:00~23:00
이야기꽃도서관,광주광역시 광산구 선운중앙로67번길 6,35.14841258,126.7798951,05:00-03:00,05:00-03:00
광산세무서,광주광역시 광산구 하남대로83,35.18051344,126.8027201,09:00~18:00,00:00-00:00
기업지원현장민원실,광주광역시 광산구 평동산단로 184-1,35.12362341,126.7692623,09:00~18:00,00:00-00:00
수완동행정복지센터(2),광주광역시 광산구 장덕로 158(수완동),35.19707398,126.8257309,05:00-03:00,05:00-03:00
신창동행정복지센터,"광주광역시 광산구 왕버들로 291, 신창동  행정복지센터 (신창동)",35.1955816,126.8407125,05:00-03:00,05:00-03:00
어룡신협소촌점,광주광역시 광산구 소촌로 85(소촌동),35.15176392,126.7927217,07:00-23:00,07:00-23:00
경제고용진흥원,광주광역시 광산구 하남산단8번로 177(도천동),35.20966432,126.8152719,09:00-22:00,00:00-00:00
운남동행정복지센터,광주광역시 광산구 목련로219번길 25(운남동),35.17330348,126.8223936,05:00-03:00,05:00-03:00
우산동행정복지센터,광주광역시 광산구 무진대로 246-12(우산동),35.16021575,126.8070581,05:00-03:00,05:00-03:00
하남산단관리공단사무소,광주광역시 광산구 하남산단3번로 133-8(장덕동)[광주광역시 광산구 장덕동 992번지 10호],35.19016506,126.8088525,09:00~18:00,00:00-00:00
광주송정역사,광주광역시 광산구 상무대로 201(송정동),35.13721225,126.790662,05:00~03:00,05:00~03:00
수완동행정복지센터(1),광주광역시 광산구 장덕로 158(수완동),35.19707398,126.8257309,09:00~18:00,00:00-00:00
하남동행정복지센터,광주광역시 광산구 하남대로54번길 15(하남동)[광주광역시 광산구 하남동 662번지],35.17954464,126.8000112,05:00-03:00,05:00-03:00
한마음새마을금고장덕지점,광주광역시 광산구 풍영로 271(장덕동)[광주광역시 광산구 장덕동 1069번지],35.19542535,126.8153568,07:00-23:00,07:00-23:00
첨단2동행정복지센터,광주광역시 광산구 첨단중앙로124번길 24(월계동)[광주광역시 광산구 월계동 875번지 첨단2동 행정복지센터],35.21624335,126.8433211,09:00~18:00,00:00-00:00
NH농협은행광주유통센터지점,광주광역시 광산구 임방울대로 261(신가동)[광주광역시 광산구 신가동 1052번지],35.185028,126.8186595,09:30-23:00,09:30-23:00
비아신협첨단본점KIOSK,광주광역시 광산구 월계로 122(월계동)[광주광역시 광산구 월계동 769번지 2호],35.21343215,126.8388037,07:00-23:00,07:00-23:00
어룡신협하남지점KIOSK,광주광역시 광산구 하남대로 71,35.18053976,126.8013415,07:00-24:00,07:00-24:00
첨단도서관 KIOSK,광주광역시 광산구 임방울대로 673-12(월계동)[광주광역시 광산구 월계동 760번지 1호],35.21689594,126.8320336,09:00~22:00,09:00~22:00
우산신협 KIOSK,광주광역시 광산구 임방울대로 328(수완동)[광주광역시 광산구 수완동 1477번지],35.18904521,126.8239491,07:00-24:00,07:00-24:00
우리은행 신창지점KIOSK,광주광역시 광산구 장신로253 우리은행 신창지점 (신창동),35.19090903,126.8378937,07:00-23:00,07:00-23:00
장덕도서관KISOK,광주광역시 광산구 풍영로 179(장덕동)[1600번지],35.18757202,126.8133477,09:00~22:00,09:00~22:00
하남홈플러스 KIOSK,광주광역시 광산구 용아로 390(하남동)[831번지],35.17796809,126.8053835,10:00-24:00,10:00-24:00
광주공항 KIOSK,광주광역시 광산구 상무대로 420-25(신촌동),35.13938862,126.8109123,06:00-24:00,06:00-24:00
광산구청민원실 KIOSK,광주광역시 광산구 광산로29번길 15(송정동)[광주광역시 광산구 송정동 833번지 8호],35.13964744,126.7936443,05:00-03:00,05:00-03:00
우산동농협 KIOSK,광주광역시 광산구 무진대로 285(우산동),35.16185909,126.8115694,07:00-22:00,07:00-22:00
북광주세무서 KIOSK,광주광역시 북구 경양로170,35.15999333,126.910095,09:00-18:00,00:00-00:00
정부광주지방합동청사 1층 KIOSK,광주광역시 북구 첨단과기로208번길 43(오룡동)[정부지방합동청사],35.22421243,126.8497023,09:00-18:00,00:00-00:00
광주원예농협점,광주광역시 북국 동문대로260,35.18390367,126.9357801,7:00-23:50,00:00-00:00
해피뷰병원,광주광역시 북구 경렬로216,35.15864167,126.9067731,05:00-03:00,05:00-03:00
양산동 행정복지센터,광주광역시 북구 양산택지로 32(양산동)[광주광역시 북구 양산동 1019번지],35.20916558,126.8796419,09:00-18:00,00:00-00:00
광주농협 충효지점 KIOSK,광주광역시 북구 송강로 393(충효동)[광주농협 충효지소],35.18288071,126.9998543,09:00-16:30,00:00-00:00
농협중앙회 광주비엔날레지점 KIOSK,광주광역시 북구 비엔날레로 108(용봉동)[NH농협은행비엔날레점],35.18135257,126.8905358,08:00-22:00,08:00-22:00
NC(구 현대)백화점 KIOSK,광주광역시 북구 경열로 249(신안동),35.16155972,126.907117,11:00~20:00,11:00~20:00
두암동 홈플러스 KIOSK,광주광역시 북구 동문대로 200(두암동)[홈플러스],35.17934165,126.9304166,10:00~24:00,10:00~24:00
동림동 삼익아파트 KIOSK,광주광역시 북구 유림로 175(동림동)[삼익아파트 관리사무소],35.1773946,126.862801,09:00~19:00,09:00~19:00
북구청 교통행정과,광주광역시 북구 용봉로138번길 11 (중흥2동),35.17300906,126.9117196,09:00~18:00,00:00-00:00
북구청 민원실,광주광역시 북구 우치로 77(용봉동)[북구청],35.17429053,126.9121076,05:00-03:00,05:00-03:00
광주테크노파크 KIOSK,광주광역시 북구 첨단과기로 333(대촌동)[광주테크노파크],35.23029851,126.8617205,09:00~18:00,00:00-00:00
신용동 행정복지센터,"광주광역시 북구 첨단연신로 97, 4층",35.20657705,126.8640291,09:00-18:00,00:00-00:00
건국동 행정복지센터,광주광역시 북구 본촌마을길 25,35.22293848,126.8816481,09:00-18:00,00:00-00:00
석곡동 행정복지센터,광주광역시 북구 석곡로 634,35.21501457,126.9500435,09:00-18:00,00:00-00:00
오치2동 행정복지센터,광주광역시 북구 서하로183번길 29,35.19004616,126.9004859,09:00-18:00,00:00-00:00
오치1동 행정복지센터,광주광역시 북구 우치로274번길 48,35.18910245,126.9081325,09:00-18:00,00:00-00:00
매곡동 행정복지센터,광주광역시 북구 매곡로69번길 25,35.18963434,126.8920701,09:00-18:00,00:00-00:00
일곡동 행정복지센터,광주광역시 북구 설죽로 525,35.20602917,126.8972774,09:00-18:00,00:00-00:00
삼각동 행정복지센터,광주광역시 북구 설죽로 447,35.19926475,126.8994863,09:00-18:00,00:00-00:00
두암3동 행정복지센터,광주광역시 북구 삼정로3번길 25,35.16301732,126.9347551,09:00-18:00,00:00-00:00
두암2동 행정복지센터,광주광역시 북구 면앙로192번길15,35.17460153,126.9325313,09:00-18:00,00:00-00:00
두암1동 행정복지센터,광주광역시 북구 동문대로 110번길 77,35.17103624,126.9289653,09:00-18:00,00:00-00:00
문흥2동 행정복지센터,광주광역시 북구 문산로 25,35.18432313,126.9219196,09:00-18:00,00:00-00:00
문흥1동 행정복지센터,광주광역시 북구 대천로 140-3,35.18676706,126.9216312,09:00-18:00,00:00-00:00
문화동 행정복지센터,광주광역시 북구 군왕로 233,35.18149798,126.9368604,09:00-18:00,00:00-00:00
풍향동 행정복지센터,광주광역시 북구 필문대로29번길 10,35.16447448,126.9232702,09:00-18:00,00:00-00:00
우산동 행정복지센터,"광주광역시 북구 동문대로 109, 2층",35.17310964,126.9249397,09:00-18:00,00:00-00:00
동림동 행정복지센터,광주광역시 북구 북문대로 236,35.18702965,126.8666034,09:00-18:00,00:00-00:00
운암3동 행정복지센터,광주광역시 북구 서강로 129,35.18275628,126.8743154,09:00-18:00,00:00-00:00
운암2동 행정복지센터,광주광역시 북구 죽봉대로 214,35.17254838,126.8850741,09:00-18:00,00:00-00:00
운암1동 행정복지센터,광주광역시 북구 동운로201번길 55,35.17486657,126.8744364,09:00-18:00,00:00-00:00
용봉동 행정복지센터,광주광역시 북구 용주로18번길 28,35.18039988,126.901176,09:00-18:00,00:00-00:00
신안동 행정복지센터,광주광역시 북구 자산로 66,35.16744184,126.898726,09:00-18:00,00:00-00:00
임동 행정복지센터,광주광역시 북구 서림로 53,35.16587272,126.8942491,09:00-18:00,00:00-00:00
중앙동 행정복지센터,광주광역시 북구 금재로 30,35.15732039,126.9065781,05:00-03:00,05:00-03:00
중흥3동 행정복지센터,광주광역시 북구 서방로40번길 12,35.1722844,126.917129,05:00-03:00,05:00-03:00
중흥2동 행정복지센터,광주광역시 북구 우치로1번길 10,35.16828898,126.909238,09:00-18:00,00:00-00:00
중흥1동 행정복지센터,광주광역시 북구 중흥로183번길 7,35.16168524,126.9137767,09:00-18:00,00:00-00:00
서방새마을금고 본점(우산동),광주광역시 북구 동문대로 19-1(우산동),35.16663968,126.919318,07:00~23:00,07:00~23:00
광주농협 매곡동지점,광주광역시 북구 매곡로 48(매곡동),35.18948966,126.8946119,09:00~20:00,09:00~20:00
운암도서관 KIOSK,광주광역시 북구 북문대로118(운암동),35.18028011,126.8752222,09:00-22:00,00:00-00:00
광주북부새마을금고(본점),광주광역시 북구 서림로 109-1 (임동),35.16195822,126.8980504,08:00-23:00,08:00-23:00
