설치장소(관할부서),설치위치,운영시간,등기부등본발급여부,가족관계발급여부,설치소재지(도로명),관리기관명,전화번호,위도,경도,데이터기준일자
군산시청,군산시청 입구,00:00∼24:00,Y,Y,전북특별자치도 군산시 시청로 17 (조촌동),전북특별자치도 군산시청,063-454-2533,126.7368362,35.96763599,2026-06-19
나운2동행정복지센터,나운2동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시 나운3길 16 (나운동),군산시 나운2동,063-454-7721,126.6996086,35.96485946,2026-06-19
나운3동행정복지센터,나운3동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시 부곡1길 25 (나운동),군산시 나운3동,063-454-7760,126.6892321,35.95880745,2026-06-19
나운3동 늘푸른도서관,늘푸른도서관 내부,09:00∼22:00(평일)+09:00∼17:00(토)+공휴일 미운영,N,Y,전북특별자치도 군산시 하나운로 17 (나운동),군산시 나운3동,063-454-7760,126.6990479,35.96051837,2026-06-19
나운3동 평생학습관,미룡동 군산시평생학습관,00:00∼24:00,Y,Y,전북특별자치도 군산시 황룡로 43 (미룡동),군산시 나운3동,063-454-7760,126.6899288,35.94480059,2026-06-19
조촌동행정복지센터,조촌동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시 조촌5길 15 (조촌동),군산시 조촌동,063-454-2533,126.7371602,35.97445288,2026-06-19
조촌동 동군산병원,동군산병원 외부,00:00∼24:00,N,Y,전북특별자치도 군산시 조촌로 149 (조촌동),군산시 조촌동,063-454-2533,126.7369778,35.97755127,2026-06-19
조촌동금강도서관,금강도서관 내부,00:00∼24:00,N,Y,전북특별자치도 군산시 궁포3로 30 (조촌동),군산시 조촌동,063-454-2533,126.7418568,35.97823335,2026-06-19
수송동행정복지센터 내부,수송동행정복지센터 내부(I),09:00∼18:00+휴일 미운영,Y,Y,전북특별자치도 군산시 동수송1길 7 (수송동),군산시 수송동,063-454-7649,126.7176684,35.9648373,2026-06-19
수송동행정복지센터 내부2,수송동행정복지센터 내부(II),09:00∼18:00+휴일 미운영,Y,Y,전북특별자치도 군산시 동수송1길 8 (수송동),군산시 수송동,063-454-7649,126.7176684,35.9648373,2026-06-19
수송동행정복지센터 외부,수송동행정복지센터 외부,00:00∼24:00,N,Y,전북특별자치도 군산시 동수송1길 7 (수송동),군산시 수송동,063-454-7649,126.7176684,35.9648373,2026-06-19
수송동 군산의료원,군산의료원 정문 로비,00:00∼24:00,N,Y,전북특별자치도 군산시 의료원로 27 (지곡동),군산시 수송동,063-454-7649,126.7119201,35.95493412,2026-06-19
수송동 군산세무서,군산세무서 로비,09:00∼18:00+휴일 미운영,N,Y,전북특별자치도 군산시 미장13길 49 (미장동),군산시 수송동,063-454-7649,126.7337198,35.96423249,2026-06-19
수송동 군산시립도서관,군산시립도서관 외부,00:00∼24:00,N,Y,전북특별자치도 군산시 축동로 72 (수송동),군산시 수송동,063-454-7649,126.7113622,35.96608565,2026-06-19
소룡동행정복지센터,소룡동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시 설림안4길 30 (소룡동),군산시 소룡동,063-454-2584,126.6838068,35.97379898,2026-06-19
소룡동 산단민원계1,사무실 내 1층,09:00~20:00(평일)+09:00~13:00(토)+공휴일 미운영,N,Y,전북특별자치도 군산시 가도로 171 (오식도동),군산시 소룡동,063-454-7842,126.5669906,35.96153006,2026-06-19
소룡동 산단민원계2,사무실 내 1층(법인인감용),09:00∼18:00+휴일 미운영,Y,N,전북특별자치도 군산시 가도로 171 (오식도동),군산시 소룡동,063-454-7842,126.5669906,35.96153006,2026-06-19
소룡동 군산항연안여객터미널,군산항연안여객터미널 내부,07:00~20:00,N,N,전북특별자치도 군산시 임해로 378-14 (소룡동),군산시 소룡동,063-454-7842,126.6292624,35.97797448,2026-06-19
소룡동 비응항,비응항관리사무소 옆,00:00∼24:00,N,N,전북특별자치도 군산시 비응남로 74-9 (비응도동),군산시 소룡동,063-454-7842,126.5306193,35.93875807,2026-06-19
옥서면 군산공항,군산공항 내부,07:30∼19:00,N,N,전북특별자치도 군산시 옥서면 산동길 2,군산시 옥서면,063-454-2533,126.6155907,35.92649188,2026-06-19
흥남동행정복지센터,흥남동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시 월명로 377 (흥남동),군산시 흥남동,063-454-7500,126.7152081,35.97779805,2026-06-19
미성동행정복지센터,미성동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시 공항로 371 (산북동),군산시 미성동,063-454-7824,126.6576242,35.95786821,2026-06-19
중앙동행정복지센터,중앙동행정복지센터 외부,00:00∼24:00,Y,Y,전북특별자치도 군산시  큰샘길 47 (죽성동),군산시 중앙동,063-454-7463,126.717378,35.98599196,2026-06-19
옥도면사무소,고군산관광탐방지원센터 내부,00:00∼24:00,N,Y,전북특별자치도 군산시 옥도면 선유북길 127,군산시 옥도면,063-454-7290,126.409571,35.8142307,2026-06-19
경암동행정복지센터,군산경찰서 내부,00:00∼24:00,N,Y,전북특별자치도 군산시 구암3.1로 82,군산시 경암동,063-454-7563,126.7277979,35.98119671,2026-06-19
