연번,설치장소,도로명주소,지번주소,평일운영시간,주말운영시간(공휴일포함),데이터기준일자
1,전주시청,전북특별자치도 전주시 완산구 노송광장로 10,전북특별자치도 전주시 완산구 서노송동 568-1,07:00-18:00,00:00-00:00,2026-06-15
2,풍남동,전북특별자치도 전주시 완산구 어진길 122-12,전북특별자치도 전주시 완산구 경원동1가 126-41,00:00-24:00,00:00-24:00,2026-06-15
3,효자4동주민센터,전북특별자치도 전주시 완산구 천잠로 186,전북특별자치도 전주시 완산구 효자동2가 1196-9,09:00-18:00,00:00-00:00,2026-06-15
4,전주농협신성지점,전북특별자치도 전주시 완산구 모악로 4679,전북특별자치도 전주시 완산구 평화동2가 310-2,07:00-23:00,07:00-23:00,2026-06-15
5,국민연금공단,전북특별자치도 전주시 완산구 온고을로 13,전북특별자치도 전주시 완산구 서신동 769,08:00-19:00,00:00-00:00,2026-06-15
6,효자동서곡치안센터,전북특별자치도 전주시 완산구 세내로 552,전북특별자치도 전주시 완산구 효자동3가 1456-1,00:00-24:00,00:00-24:00,2026-06-15
7,서신동 내부,전북특별자치도 전주시 완산구 서신천변14길 10,전북특별자치도 전주시 완산구 서신동 804,09:00-18:00,00:00-00:00,2026-06-15
8,평화2동,전북특별자치도 전주시 완산구 평화18길 14-16,전북특별자치도 전주시 완산구 평화동1가 720-4,00:00-24:00,00:00-24:00,2026-06-15
9,서신동 외부 ,전북특별자치도 전주시 완산구 서신천변14길 10,전북특별자치도 전주시 완산구 서신동 804,00:00-24:00,00:00-24:00,2026-06-15
10,효자동LH전북지역본부,전북특별자치도 전주시 완산구 홍산로 158,전북특별자치도 전주시 완산구 효자동2가 1333-1,09:00-18:00,00:00-00:00,2026-06-15
11,완산경찰서,전북특별자치도 전주시 완산구 전라감영로 66,전북특별자치도 전주시 완산구 전동 142-1,09:00-18:00,00:00-00:00,2026-06-15
12,전주세무서,전북특별자치도 전주시 완산구 서곡로 95,전북특별자치도 전주시 완산구 효자동3가 1406,09:00-18:00,00:00-00:00,2026-06-15
13,전주세무서2,전북특별자치도 전주시 완산구 서곡로 95,전북특별자치도 전주시 완산구 효자동3가 1406,09:00-18:00,00:00-00:00,2026-06-15
14,전라북도청,전북특별자치도 전주시 완산구 효자로 225,전북특별자치도 전주시 완산구 효자동3가 1,05:00-24:00,05:00-24:00,2026-06-15
15,삼천3동,전북특별자치도 전주시 완산구 삼천천변2길 37,전북특별자치도 전주시 완산구 삼천동1가 287-21,00:00-24:00,00:00-24:00,2026-06-15
16,전주완산구청 ,전북특별자치도 전주시 완산구 서원로 232,전북특별자치도 전주시 완산구 효자동1가 595,00:00-24:00,00:00-24:00,2026-06-15
17,삼천1동,전북특별자치도 전주시 완산구 성지산로 33,전북특별자치도 전주시 완산구 삼천동1가 573-2,00:00-24:00,00:00-24:00,2026-06-15
18,전북특별자치도경찰청,전북특별자치도 전주시 완산구 온고을로 170-16,전북특별자치도 전주시 완산구 효자동3가1628,00:00-24:00,00:00-24:00,2026-06-15
19,효자5동_외부,전북특별자치도 전주시 완산구 우전로 259,전북특별자치도 전주시 완산구 효자동2가 1233-1,00:00-24:00,00:00-24:00,2026-06-15
20,예수병원,전북특별자치도 전주시 완산구 서원로 365,전북특별자치도 전주시 완산구 중화산동1가 300,00:00-24:00,00:00-24:00,2026-06-15
21,효자5동_ 내부,전북특별자치도 전주시 완산구 우전로 259,전북특별자치도 전주시 완산구 효자동2가 259,09:00-18:00,00:00-00:00,2026-06-15
22,중화산2동,전북특별자치도 전주시 완산구 화산천변로 30,전북특별자치도 전주시 완산구 중화산동2가 752-1,09:00-18:00,00:00-00:00,2026-06-15
23,효자3동주민센터,전북특별자치도 전주시 완산구 강변로 180,전북특별자치도 전주시 완산구 효자동1가 408-9,09:00-18:00,00:00-00:00,2026-06-15
24,전주상공회의소,전북특별자치도 전주시 완산구 홍산로 276,전북특별자치도 전주시 완산구 효자동3가 1525-2,08:00-18:00,00:00-00:00,2026-06-15
25,중산신협,전북특별자치도 전주시 완산구 효천중앙로 17 ,전북특별자치도 전주시 완산구 효자동2가 1363,07:00-23:00,07:00-23:00,2026-06-15
26,전주시청_외부,전북특별자치도 전주시 완산구 노송광장로 10,전북특별자치도 전주시 완산구 서노송동 568-1,00:00-24:00,00:00-00:00,2026-06-15
27,삼천2동,전북특별자치도 전주시 완산구 거마중앙로 49,전북특별자치도 전주시 완산구 삼천동1가 633,09:00-18:00,00:00-00:00,2026-06-15
28,송천신협본점,전북특별자치도 전주시 덕진구 붓내3길 38,전북특별자치도 전주시 덕진구 송천동2가 227,07:00-23:30,07:00-23:30,2026-06-15
29,전주고용복지플러스센터,전북특별자치도 전주시 덕진구 태진로 114,전북특별자치도 전주시 덕진구 진북동 410-1,07:00-19:00,00:00-00:00,2026-06-15
30,우아2동,전북특별자치도 전주시 덕진구 진버들7길 25,전북특별자치도 전주시 덕진구 우아동2가 856-3,09:00-18:00,00:00-00:00,2026-06-15
31,대자인병원,전북특별자치도 전주시 덕진구 견훤로 390,전북특별자치도 전주시 덕진구 우아동3가 734-17,00:00-24:00,00:00-24:00,2026-06-15
32,호성동,전북특별자치도 전주시 덕진구 동부대로 869,전북특별자치도 전주시 덕진구 호성동1가 863-44,00:00-24:00,00:00-24:00,2026-06-15
33,금암동,전북특별자치도 전주시 덕진구 기린대로 392,전북특별자치도 전주시 덕진구 금암동 470-7,00:00-24:00,00:00-24:00,2026-06-15
34,송천2동,전북특별자치도 전주시 덕진구 두간9길 6,전북특별자치도 전주시 덕진구 송천동1가 829-1,00:00-24:00,00:00-24:00,2026-06-15
35,전주법원,전북특별자치도 전주시 덕진구 가인로 33,전북특별자치도 전주시 덕진구 만성동 1258-3,09:00-18:00,00:00-00:00,2026-06-15
36,인후3동 ,전북특별자치도 전주시 덕진구 구총목로 5 ,전북특별자치도 전주시 덕진구 인후동1가 886-5,00:00-24:00,00:00-24:00,2026-06-15
37,전북대학교,전북특별자치도 전주시 덕진구 백제대로 567,전북특별자치도 전주시 덕진구 금암동 663,00:00-24:00,00:00-24:00,2026-06-15
38,덕진경찰서,전북특별자치도 전주시 덕진구 온고을로 299,전북특별자치도 전주시 덕진구 팔복동3가 360-1,00:00-24:00,00:00-24:00,2026-06-15
39,북전주세무서 ,전북특별자치도 전주시 덕진구 벚꽃로 33,전북특별자치도 전주시 덕진구 진북동 416-11,09:00-18:00,00:00-00:00,2026-06-15
40,전주송천새마을금고 더샵2차지점,전북특별자치도 전주시 덕진구 세병로 171,전북특별자치도 전주시 덕진구 송천동2가 1316,07:00-23:30,07:00-23:30,2026-06-15
41,송천1동주민센터2,전북특별자치도 전주시 덕진구 송천중앙로 116,전북특별자치도 전주시 덕진구 송천동1가 395-28,00:00-24:00,00:00-24:00,2026-06-15
42,덕진구청,전북특별자치도 전주시 덕진구 벚꽃로 55,전북특별자치도 전주시 덕진구 진북동 416-12,00:00-24:00,00:00-24:00,2026-06-15
43,조촌동,전북특별자치도 전주시 덕진구 쪽구름로 150,전북특별자치도 전주시 덕진구 반월동 394,00:00-24:00,00:00-24:00,2026-06-15
44,인후1동,전북특별자치도 전주시 덕진구 견훤로 290,전북특별자치도 전주시 덕진구 인후동1가 766-9,00:00-24:00,00:00-24:00,2026-06-15
45,전북대병원,전북특별자치도 전주시 덕진구 건지로 20,전북특별자치도 전주시 덕진구 금암동 634-18,00:00-24:00,00:00-24:00,2026-06-15
46,덕진동,전북특별자치도 전주시 덕진구 기린대로 533-7,전북특별자치도 전주시 덕진구 덕진동1가 1357-5,00:00-24:00,00:00-24:00,2026-06-15
47,인후신협하가지점,전북특별자치도 전주시 덕진구 가련산로 13,전북특별자치도 전주시 덕진구 덕진동2가 693-1,07:00-24:00,07:00-24:00,2026-06-15
48,송천1동,전북특별자치도 전주시 덕진구 송천중앙로 116,전북특별자치도 전주시 덕진구 송천동1가 395-28,09:00-18:00,00:00-00:00,2026-06-15
49,여의동,전북특별자치도 전주시 덕진구 여암2길 9,전북특별자치도 전주시 덕진구 반월동 248-32,08:00-22:00,08:00-22:00,2026-06-15
50,혁신동,전북특별자치도 전주시 덕진구 오공로 43-24,전북특별자치도 전주시 덕진구 중동 775-5,00:00-24:00,00:00-24:00,2026-06-15
51,우아1동 주민센터(외부),전북특별자치도 전주시 덕진구 우아2길 25,전북특별자치도 전주시 덕진구 우아동3가 746-67,00:00-24:00,00:00-24:00,2026-06-15
52,송천3동주민센터,전북특별자치도 전주시 덕진구 우아2길 26,전북특별자치도 전주시 덕진구 송천동2가 1312,00:00-24:00,00:00-24:00,2026-06-15
53,금암동현장민원실,전북특별자치도 전주시 덕진구 거북바우로 50,전북특별자치도 전주시 덕진구 금암동 1572-1,00:00-24:00,00:00-24:00,2026-06-15
