발급기명,행정동명,설치주소,설치장소상세위치,사용여부명,최종수정시점,데이터갱신구분,데이터갱신일자,시도코드,설치장소위치,도로시군구코드,평일종료시각,주말시작시각,주말종료시각,등기사항발급여부,가족관계삭제발급구분,가족관계발급여부,관리기관명,데이터기준일자
가야곡면사무소,가야곡면,충청남도 논산시 가야곡면 덕은로 22,가야곡면사무소 민원실 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
강경읍사무소,강경읍,충청남도 논산시 강경읍 계백로 162,강경읍사무소 민원실 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
대전지방법원논산지원,강경읍,충청남도 논산시 강경읍 계백로 99,대전지방법원 논산지원 중앙 복도 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,미발급,발급,발급,충청남도 논산시 민원과,2026-07-20
광석면사무소,광석면,충청남도 논산시 광석면 사계로 441,광석면사무소 민원실 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
벌곡면사무소,벌곡면,충청남도 논산시 벌곡면 황룡재로 594,벌곡면사무소 옥외부스,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
부적면사무소,부적면,충청남도 논산시 부적면 마구평길 22,부적면사무소 민원실 외,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
부창동사무소,부창동,충청남도 논산시 시민로 389,부창동사무소 옥외부스,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
논산세무서,부창동,충청남도 논산시 논산대로241번길 6,논산세무서 민원봉사실 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,미발급,미발급,미발급,충청남도 논산시 민원과,2026-07-20
상월면사무소,상월면,충청남도 논산시 상월면 백일헌로 1049,상월면사무소 앞 옥외부스,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
성동면사무소,성동면,충청남도 논산시 성동면 성동로 275,성동면사무소 무인민원발급기 옥외부스,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
양촌면 국방대학교,양촌면,충청남도 논산시 양촌면 황산벌로1098번길 46,영외복지관 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
노성면사무소,노성면,충청남도 논산시 노성면 노성로585번길 12-8,노성면사무소 앞 옥외부스,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
양촌면사무소,양촌면,충청남도 논산시 양촌면 매죽헌로1665번길 28,양촌면사무소 민원실 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,24:00,00:00,24:00,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
연무신협,연무읍,충청남도 논산시 연무읍 안심로 102,연무읍 동산리 953-1(연무신협 옆),사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,미발급,미발급,미발급,충청남도 논산시 민원과,2026-07-20
연무읍사무소,연무읍,충청남도 논산시 연무읍 안심로 50,연무읍사무소 민원실 내,사용,2026-07-20,U,2026-07-20,4400000000,논산시,4540000,18:00,미운영,미운영,발급,발급,발급,충청남도 논산시 민원과,2026-07-20
